id,seed,leader,colour,value,drones
0,de185033-3d3b-4e5f-9f8d-5d933e6733e3,Rozuno,4,0.850,"[{""seed"":""de185033-3d3b-4e5f-9f8d-5d933e6733e3"",""name"":""Rozuno"",""weapon"":4,""gimbal"":5,""steering"":4,""thruster"":3,""chassis"":4,""scanner"":2,""colour"":4,""skewMod"":0,""skew"":1,""value"":""0.856"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.833"",""chassisNormal"":""1.000"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.500""},{""seed"":""de185033-3d3b-4e5f-9f8d-5d933e6733e3"",""name"":""Veter"",""weapon"":4,""gimbal"":4,""steering"":4,""thruster"":0,""chassis"":4,""scanner"":4,""colour"":4,""skewMod"":0,""skew"":1,""value"":""0.783"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.833"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.833""},{""seed"":""de185033-3d3b-4e5f-9f8d-5d933e6733e3"",""name"":""Lenides v50.84"",""weapon"":4,""gimbal"":3,""steering"":2,""thruster"":4,""chassis"":3,""scanner"":2,""colour"":4,""skewMod"":0,""skew"":1,""value"":""0.744"",""weaponNormal"":""1.000"",""thrusterNormal"":""1.000"",""steeringNormal"":""0.500"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.500""},{""seed"":""de185033-3d3b-4e5f-9f8d-5d933e6733e3"",""name"":""Yalara"",""weapon"":1,""gimbal"":4,""steering"":3,""thruster"":3,""chassis"":1,""scanner"":4,""colour"":4,""skewMod"":0,""skew"":1,""value"":""0.656"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.667"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.833""},{""seed"":""de185033-3d3b-4e5f-9f8d-5d933e6733e3"",""name"":""Qanov Mk XCV"",""weapon"":4,""gimbal"":3,""steering"":0,""thruster"":3,""chassis"":4,""scanner"":0,""colour"":4,""skewMod"":0,""skew"":1,""value"":""0.634"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.167"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.167""},{""seed"":""de185033-3d3b-4e5f-9f8d-5d933e6733e3"",""name"":""Loter Mk LXXII"",""weapon"":4,""gimbal"":2,""steering"":3,""thruster"":1,""chassis"":1,""scanner"":2,""colour"":4,""skewMod"":0,""skew"":1,""value"":""0.578"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.667"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.500""}]"
1,b800c21d-0665-4943-8367-bf6804a1af5d,Beter Mk XIX,2,0.681,"[{""seed"":""b800c21d-0665-4943-8367-bf6804a1af5d"",""name"":""Beter Mk XIX"",""weapon"":4,""gimbal"":5,""steering"":4,""thruster"":2,""chassis"":1,""scanner"":0,""colour"":2,""skewMod"":0,""skew"":1,""value"":""0.667"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.833"",""chassisNormal"":""0.400"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.167""},{""seed"":""b800c21d-0665-4943-8367-bf6804a1af5d"",""name"":""Fotune Mk XIX"",""weapon"":4,""gimbal"":0,""steering"":5,""thruster"":0,""chassis"":4,""scanner"":1,""colour"":2,""skewMod"":0,""skew"":1,""value"":""0.617"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.200"",""steeringNormal"":""1.000"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.167"",""scannerNormal"":""0.333""},{""seed"":""b800c21d-0665-4943-8367-bf6804a1af5d"",""name"":""Menope"",""weapon"":0,""gimbal"":4,""steering"":5,""thruster"":1,""chassis"":0,""scanner"":5,""colour"":2,""skewMod"":0,""skew"":1,""value"":""0.606"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.400"",""steeringNormal"":""1.000"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.833"",""scannerNormal"":""1.000""},{""seed"":""b800c21d-0665-4943-8367-bf6804a1af5d"",""name"":""Iarus v3.33"",""weapon"":0,""gimbal"":3,""steering"":4,""thruster"":0,""chassis"":1,""scanner"":4,""colour"":2,""skewMod"":0,""skew"":1,""value"":""0.522"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.833"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.833""},{""seed"":""b800c21d-0665-4943-8367-bf6804a1af5d"",""name"":""Juthea"",""weapon"":4,""gimbal"":0,""steering"":4,""thruster"":0,""chassis"":0,""scanner"":3,""colour"":2,""skewMod"":0,""skew"":1,""value"":""0.511"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.833"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.167"",""scannerNormal"":""0.667""},{""seed"":""b800c21d-0665-4943-8367-bf6804a1af5d"",""name"":""Zetera"",""weapon"":3,""gimbal"":3,""steering"":1,""thruster"":1,""chassis"":0,""scanner"":2,""colour"":2,""skewMod"":0,""skew"":1,""value"":""0.483"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.333"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.500""}]"
2,59f61220-1068-4822-b336-f7aae3f2b6fa,Xulara,0,0.720,"[{""seed"":""59f61220-1068-4822-b336-f7aae3f2b6fa"",""name"":""Xulara"",""weapon"":2,""gimbal"":3,""steering"":5,""thruster"":4,""chassis"":0,""scanner"":5,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.745"",""weaponNormal"":""0.600"",""thrusterNormal"":""1.000"",""steeringNormal"":""1.000"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.667"",""scannerNormal"":""1.000""},{""seed"":""59f61220-1068-4822-b336-f7aae3f2b6fa"",""name"":""Hupra"",""weapon"":3,""gimbal"":0,""steering"":2,""thruster"":4,""chassis"":4,""scanner"":1,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.633"",""weaponNormal"":""0.800"",""thrusterNormal"":""1.000"",""steeringNormal"":""0.500"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.167"",""scannerNormal"":""0.333""},{""seed"":""59f61220-1068-4822-b336-f7aae3f2b6fa"",""name"":""Tolara v11.61"",""weapon"":1,""gimbal"":4,""steering"":1,""thruster"":4,""chassis"":2,""scanner"":2,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.611"",""weaponNormal"":""0.400"",""thrusterNormal"":""1.000"",""steeringNormal"":""0.333"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.500""},{""seed"":""59f61220-1068-4822-b336-f7aae3f2b6fa"",""name"":""Duyama"",""weapon"":4,""gimbal"":2,""steering"":5,""thruster"":0,""chassis"":1,""scanner"":2,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.600"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.200"",""steeringNormal"":""1.000"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.500""},{""seed"":""59f61220-1068-4822-b336-f7aae3f2b6fa"",""name"":""Futis"",""weapon"":0,""gimbal"":3,""steering"":2,""thruster"":1,""chassis"":1,""scanner"":5,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.528"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.500"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.667"",""scannerNormal"":""1.000""},{""seed"":""59f61220-1068-4822-b336-f7aae3f2b6fa"",""name"":""Lenus Mk LXVI"",""weapon"":0,""gimbal"":1,""steering"":5,""thruster"":1,""chassis"":3,""scanner"":0,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.483"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.400"",""steeringNormal"":""1.000"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.167""}]"
3,6199c2aa-0dba-43e6-9f07-fc1f67e744cc,Bazuno v28.6,1,0.818,"[{""seed"":""6199c2aa-0dba-43e6-9f07-fc1f67e744cc"",""name"":""Bazuno v28.6"",""weapon"":4,""gimbal"":5,""steering"":5,""thruster"":2,""chassis"":4,""scanner"":4,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.905"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.600"",""steeringNormal"":""1.000"",""chassisNormal"":""1.000"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.833""},{""seed"":""6199c2aa-0dba-43e6-9f07-fc1f67e744cc"",""name"":""Jerus"",""weapon"":3,""gimbal"":4,""steering"":2,""thruster"":3,""chassis"":2,""scanner"":4,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.728"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.500"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.833""},{""seed"":""6199c2aa-0dba-43e6-9f07-fc1f67e744cc"",""name"":""Dezuno"",""weapon"":1,""gimbal"":3,""steering"":5,""thruster"":4,""chassis"":3,""scanner"":1,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.700"",""weaponNormal"":""0.400"",""thrusterNormal"":""1.000"",""steeringNormal"":""1.000"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.333""},{""seed"":""6199c2aa-0dba-43e6-9f07-fc1f67e744cc"",""name"":""Yulea"",""weapon"":0,""gimbal"":5,""steering"":3,""thruster"":0,""chassis"":3,""scanner"":4,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.617"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.667"",""chassisNormal"":""0.800"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.833""},{""seed"":""6199c2aa-0dba-43e6-9f07-fc1f67e744cc"",""name"":""Tustea v27.10"",""weapon"":4,""gimbal"":5,""steering"":0,""thruster"":0,""chassis"":3,""scanner"":2,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.611"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.167"",""chassisNormal"":""0.800"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.500""},{""seed"":""6199c2aa-0dba-43e6-9f07-fc1f67e744cc"",""name"":""Caruta"",""weapon"":0,""gimbal"":4,""steering"":2,""thruster"":2,""chassis"":0,""scanner"":4,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.528"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.500"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.833""}]"
4,277e757b-141e-4a6d-937a-ca62984abade,Ratov,1,0.667,"[{""seed"":""277e757b-141e-4a6d-937a-ca62984abade"",""name"":""Ratov"",""weapon"":3,""gimbal"":1,""steering"":1,""thruster"":4,""chassis"":2,""scanner"":4,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.650"",""weaponNormal"":""0.800"",""thrusterNormal"":""1.000"",""steeringNormal"":""0.333"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.833""},{""seed"":""277e757b-141e-4a6d-937a-ca62984abade"",""name"":""Xacury"",""weapon"":4,""gimbal"":1,""steering"":3,""thruster"":3,""chassis"":2,""scanner"":2,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.650"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.667"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.500""},{""seed"":""277e757b-141e-4a6d-937a-ca62984abade"",""name"":""Soter"",""weapon"":0,""gimbal"":2,""steering"":5,""thruster"":1,""chassis"":3,""scanner"":5,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.650"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.400"",""steeringNormal"":""1.000"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.500"",""scannerNormal"":""1.000""},{""seed"":""277e757b-141e-4a6d-937a-ca62984abade"",""name"":""Buvis"",""weapon"":4,""gimbal"":2,""steering"":5,""thruster"":0,""chassis"":0,""scanner"":1,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.539"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.200"",""steeringNormal"":""1.000"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.333""},{""seed"":""277e757b-141e-4a6d-937a-ca62984abade"",""name"":""Mutera"",""weapon"":1,""gimbal"":5,""steering"":1,""thruster"":1,""chassis"":0,""scanner"":1,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.444"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.333"",""chassisNormal"":""0.200"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.333""},{""seed"":""277e757b-141e-4a6d-937a-ca62984abade"",""name"":""Wuruta"",""weapon"":1,""gimbal"":2,""steering"":1,""thruster"":1,""chassis"":2,""scanner"":0,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.400"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.333"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.167""}]"
5,695b6b9a-9c8c-49be-b7cd-beafa00c8e3a,Teter,1,0.642,"[{""seed"":""695b6b9a-9c8c-49be-b7cd-beafa00c8e3a"",""name"":""Teter"",""weapon"":1,""gimbal"":0,""steering"":1,""thruster"":2,""chassis"":4,""scanner"":5,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.583"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.333"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.167"",""scannerNormal"":""1.000""},{""seed"":""695b6b9a-9c8c-49be-b7cd-beafa00c8e3a"",""name"":""Ruter Mk IX"",""weapon"":1,""gimbal"":2,""steering"":2,""thruster"":1,""chassis"":4,""scanner"":3,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.578"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.500"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.667""},{""seed"":""695b6b9a-9c8c-49be-b7cd-beafa00c8e3a"",""name"":""Tostea"",""weapon"":3,""gimbal"":4,""steering"":4,""thruster"":1,""chassis"":1,""scanner"":0,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.572"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.833"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.167""},{""seed"":""695b6b9a-9c8c-49be-b7cd-beafa00c8e3a"",""name"":""Rulea v43.40"",""weapon"":1,""gimbal"":1,""steering"":5,""thruster"":2,""chassis"":1,""scanner"":1,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.511"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.600"",""steeringNormal"":""1.000"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.333""},{""seed"":""695b6b9a-9c8c-49be-b7cd-beafa00c8e3a"",""name"":""Hotune"",""weapon"":0,""gimbal"":1,""steering"":5,""thruster"":0,""chassis"":2,""scanner"":3,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.500"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.200"",""steeringNormal"":""1.000"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.667""},{""seed"":""695b6b9a-9c8c-49be-b7cd-beafa00c8e3a"",""name"":""Toyama"",""weapon"":0,""gimbal"":2,""steering"":3,""thruster"":1,""chassis"":0,""scanner"":4,""colour"":1,""skewMod"":0,""skew"":1,""value"":""0.467"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.667"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.833""}]"
6,f59bc0d9-a8d8-49a9-9857-0975a4036dad,Mebos v47.59,3,0.701,"[{""seed"":""f59bc0d9-a8d8-49a9-9857-0975a4036dad"",""name"":""Mebos v47.59"",""weapon"":4,""gimbal"":3,""steering"":5,""thruster"":4,""chassis"":4,""scanner"":1,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.833"",""weaponNormal"":""1.000"",""thrusterNormal"":""1.000"",""steeringNormal"":""1.000"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.333""},{""seed"":""f59bc0d9-a8d8-49a9-9857-0975a4036dad"",""name"":""Zatune"",""weapon"":3,""gimbal"":4,""steering"":4,""thruster"":0,""chassis"":3,""scanner"":0,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.606"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.833"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.167""},{""seed"":""f59bc0d9-a8d8-49a9-9857-0975a4036dad"",""name"":""Foyama"",""weapon"":3,""gimbal"":2,""steering"":2,""thruster"":3,""chassis"":1,""scanner"":2,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.583"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.500"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.500""},{""seed"":""f59bc0d9-a8d8-49a9-9857-0975a4036dad"",""name"":""Renia"",""weapon"":3,""gimbal"":4,""steering"":2,""thruster"":2,""chassis"":1,""scanner"":0,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.550"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.500"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.167""},{""seed"":""f59bc0d9-a8d8-49a9-9857-0975a4036dad"",""name"":""Zetune"",""weapon"":1,""gimbal"":2,""steering"":2,""thruster"":3,""chassis"":1,""scanner"":2,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.517"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.500"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.500""},{""seed"":""f59bc0d9-a8d8-49a9-9857-0975a4036dad"",""name"":""Boria"",""weapon"":0,""gimbal"":2,""steering"":2,""thruster"":2,""chassis"":0,""scanner"":2,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.417"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.500"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.500""}]"
7,ea4ef69c-f823-432d-abe6-8d497da6b5cc,Wuwei,5,0.718,"[{""seed"":""ea4ef69c-f823-432d-abe6-8d497da6b5cc"",""name"":""Wuwei"",""weapon"":4,""gimbal"":2,""steering"":5,""thruster"":1,""chassis"":3,""scanner"":2,""colour"":5,""skewMod"":0,""skew"":1,""value"":""0.700"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.400"",""steeringNormal"":""1.000"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.500""},{""seed"":""ea4ef69c-f823-432d-abe6-8d497da6b5cc"",""name"":""Fonia"",""weapon"":0,""gimbal"":5,""steering"":5,""thruster"":1,""chassis"":3,""scanner"":3,""colour"":5,""skewMod"":0,""skew"":1,""value"":""0.678"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.400"",""steeringNormal"":""1.000"",""chassisNormal"":""0.800"",""gimbalNormal"":""1.000"",""scannerNormal"":""0.667""},{""seed"":""ea4ef69c-f823-432d-abe6-8d497da6b5cc"",""name"":""Bostea"",""weapon"":2,""gimbal"":0,""steering"":5,""thruster"":2,""chassis"":2,""scanner"":5,""colour"":5,""skewMod"":0,""skew"":1,""value"":""0.661"",""weaponNormal"":""0.600"",""thrusterNormal"":""0.600"",""steeringNormal"":""1.000"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.167"",""scannerNormal"":""1.000""},{""seed"":""ea4ef69c-f823-432d-abe6-8d497da6b5cc"",""name"":""Yawei"",""weapon"":3,""gimbal"":2,""steering"":3,""thruster"":2,""chassis"":4,""scanner"":1,""colour"":5,""skewMod"":0,""skew"":1,""value"":""0.650"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.667"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.500"",""scannerNormal"":""0.333""},{""seed"":""ea4ef69c-f823-432d-abe6-8d497da6b5cc"",""name"":""Hunope"",""weapon"":3,""gimbal"":4,""steering"":1,""thruster"":0,""chassis"":3,""scanner"":0,""colour"":5,""skewMod"":0,""skew"":1,""value"":""0.522"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.333"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.167""},{""seed"":""ea4ef69c-f823-432d-abe6-8d497da6b5cc"",""name"":""Vobos Mk LXXII"",""weapon"":0,""gimbal"":1,""steering"":2,""thruster"":0,""chassis"":0,""scanner"":4,""colour"":5,""skewMod"":0,""skew"":1,""value"":""0.378"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.500"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.833""}]"
8,4f267fa5-85ca-44dc-ae0a-07b6d6815ab5,Galiv v14.52,0,0.724,"[{""seed"":""4f267fa5-85ca-44dc-ae0a-07b6d6815ab5"",""name"":""Galiv v14.52"",""weapon"":4,""gimbal"":4,""steering"":4,""thruster"":1,""chassis"":3,""scanner"":3,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.755"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.833"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.667""},{""seed"":""4f267fa5-85ca-44dc-ae0a-07b6d6815ab5"",""name"":""Logantu"",""weapon"":3,""gimbal"":1,""steering"":5,""thruster"":3,""chassis"":4,""scanner"":2,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.739"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.800"",""steeringNormal"":""1.000"",""chassisNormal"":""1.000"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.500""},{""seed"":""4f267fa5-85ca-44dc-ae0a-07b6d6815ab5"",""name"":""Tanides v10.24"",""weapon"":3,""gimbal"":4,""steering"":1,""thruster"":3,""chassis"":1,""scanner"":2,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.611"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.333"",""chassisNormal"":""0.400"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.500""},{""seed"":""4f267fa5-85ca-44dc-ae0a-07b6d6815ab5"",""name"":""Vucury"",""weapon"":3,""gimbal"":0,""steering"":2,""thruster"":4,""chassis"":0,""scanner"":4,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.583"",""weaponNormal"":""0.800"",""thrusterNormal"":""1.000"",""steeringNormal"":""0.500"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.167"",""scannerNormal"":""0.833""},{""seed"":""4f267fa5-85ca-44dc-ae0a-07b6d6815ab5"",""name"":""Lohines v27.31"",""weapon"":0,""gimbal"":4,""steering"":0,""thruster"":2,""chassis"":3,""scanner"":4,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.572"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.167"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.833""},{""seed"":""4f267fa5-85ca-44dc-ae0a-07b6d6815ab5"",""name"":""Vovis Mk XCIV"",""weapon"":0,""gimbal"":0,""steering"":1,""thruster"":0,""chassis"":2,""scanner"":3,""colour"":0,""skewMod"":0,""skew"":1,""value"":""0.361"",""weaponNormal"":""0.200"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.333"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.167"",""scannerNormal"":""0.667""}]"
9,f96f1fe8-1bf2-4146-9792-71f142c180e1,Jatera,3,0.639,"[{""seed"":""f96f1fe8-1bf2-4146-9792-71f142c180e1"",""name"":""Jatera"",""weapon"":4,""gimbal"":3,""steering"":2,""thruster"":2,""chassis"":2,""scanner"":0,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.589"",""weaponNormal"":""1.000"",""thrusterNormal"":""0.600"",""steeringNormal"":""0.500"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.167""},{""seed"":""f96f1fe8-1bf2-4146-9792-71f142c180e1"",""name"":""Sathea"",""weapon"":1,""gimbal"":4,""steering"":4,""thruster"":3,""chassis"":0,""scanner"":1,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.567"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.800"",""steeringNormal"":""0.833"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.833"",""scannerNormal"":""0.333""},{""seed"":""f96f1fe8-1bf2-4146-9792-71f142c180e1"",""name"":""Facury"",""weapon"":2,""gimbal"":3,""steering"":3,""thruster"":0,""chassis"":3,""scanner"":1,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.545"",""weaponNormal"":""0.600"",""thrusterNormal"":""0.200"",""steeringNormal"":""0.667"",""chassisNormal"":""0.800"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.333""},{""seed"":""f96f1fe8-1bf2-4146-9792-71f142c180e1"",""name"":""Cenov"",""weapon"":1,""gimbal"":1,""steering"":2,""thruster"":1,""chassis"":2,""scanner"":4,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.511"",""weaponNormal"":""0.400"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.500"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.333"",""scannerNormal"":""0.833""},{""seed"":""f96f1fe8-1bf2-4146-9792-71f142c180e1"",""name"":""Xomia"",""weapon"":3,""gimbal"":3,""steering"":1,""thruster"":1,""chassis"":2,""scanner"":0,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.494"",""weaponNormal"":""0.800"",""thrusterNormal"":""0.400"",""steeringNormal"":""0.333"",""chassisNormal"":""0.600"",""gimbalNormal"":""0.667"",""scannerNormal"":""0.167""},{""seed"":""f96f1fe8-1bf2-4146-9792-71f142c180e1"",""name"":""Jumia"",""weapon"":1,""gimbal"":0,""steering"":2,""thruster"":4,""chassis"":0,""scanner"":3,""colour"":3,""skewMod"":0,""skew"":1,""value"":""0.489"",""weaponNormal"":""0.400"",""thrusterNormal"":""1.000"",""steeringNormal"":""0.500"",""chassisNormal"":""0.200"",""gimbalNormal"":""0.167"",""scannerNormal"":""0.667""}]"
