uid,squadron,name,value,weapon,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
LWemYg,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,-12,180,1,259.38,259,720,720
LWemYg,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,-9,112,0,197.45,259,720,720
LWemYg,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,-2,180,0,241.94,259,720,720
LWemYg,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,0,30,0,112.29,259,720,720
LWemYg,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,-8,66,1,215.60,259,720,720
LWemYg,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,-2,42,0,165.39,259,720,720
uNVNs9,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,-3,160,1,263.19,329,720,720
uNVNs9,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,-5,64,1,187.12,329,720,720
uNVNs9,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,-4,230,1,217.28,329,720,720
uNVNs9,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,-2,71,0,112.98,329,720,720
uNVNs9,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,-15,63,0,329.03,329,720,720
uNVNs9,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,-3,51,0,212.98,329,720,720
inP21J,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,105,170,2,,284,720,720
inP21J,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,18,144,1,,284,720,720
inP21J,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,3,190,2,,284,720,720
inP21J,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,0,107,1,126.24,284,720,720
inP21J,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,-5,30,0,153.31,284,720,720
