uid,number,squadron,name,value,weapon,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
AgQi0E,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,25,110,0,,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,15,120,3,,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-5,170,2,179.45,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,-18,80,0,82.79,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,29,96,0,,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,48,128,1,,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,9,100,0,,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,21,112,0,,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,4,130,2,,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,112,96,1,,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,44,75,0,,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,106,176,3,,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,-7,50,1,116.20,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,26,224,2,,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,0,90,0,193.90,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,-6,80,0,183.68,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,-3,69,1,210.32,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,4,192,2,,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,-8,110,0,125.18,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,-6,136,1,261.14,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-2,100,0,248.03,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,46,144,2,,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,-3,63,0,188.78,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,45,288,3,,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,38,120,2,,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,8,120,1,,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-15,60,0,95.02,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,10,80,0,,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,8,57,0,,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,74,160,3,,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,-13,70,0,150.82,420,1024,1024
AgQi0E,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,-4,96,0,241.05,420,1024,1024
AgQi0E,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-3,20,0,53.60,420,1024,1024
AgQi0E,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,-1,176,1,323.41,420,1024,1024
AgQi0E,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,-1,75,0,259.96,420,1024,1024
AgQi0E,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,-3,304,4,420.25,420,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,-5,130,0,229.66,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,17,184,2,,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-13,100,0,168.37,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,-2,80,0,219.20,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,38,69,1,,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,43,160,3,,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,57,60,0,,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,65,144,1,,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,28,170,1,,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,71,80,2,,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,5,114,0,,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,75,128,2,,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,21,80,1,,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,27,112,1,,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-1,120,0,150.60,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,65,128,2,,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,66,66,1,,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,80,192,1,,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,7,230,1,,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,87,152,1,,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,31,160,0,,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,130,64,2,,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,28,108,1,,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,27,144,1,,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,22,80,0,,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,72,48,1,,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,12,140,0,,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,0,64,0,147.53,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,0,75,1,187.91,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,90,176,4,,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,12,160,0,,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,71,160,2,,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,-6,50,0,46.84,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,-3,96,1,225.06,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,92,78,0,,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,Ganov v44.95,0.611,Phase Rifle,SC600,T15,S12,C150,125,105,192,3,,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,Gaphus,0.756,Plasma Cannon,SC800,T18,S10,C125,100,22,50,1,,249,1024,1024
VxTCsa,#0001,Squadron Gaphus,Woyama v47.20,0.711,Fusion Cannon,SC800,T15,S12,C150,125,89,104,0,,249,1024,1024
VxTCsa,#0001,Squadron Gaphus,Samia,0.695,Plasma Cannon,SC800,T18,S4,C100,75,3,130,1,,249,1024,1024
VxTCsa,#0001,Squadron Gaphus,Detania Mk LIV,0.683,Phase Rifle,SC400,T20,S6,C175,150,11,160,1,,249,1024,1024
VxTCsa,#0001,Squadron Gaphus,Meruta v45.20,0.678,Pulse Rifle,SC800,T15,S10,C150,125,122,90,1,,249,1024,1024
