uid,squadron,highScore,rank,width,height
LWemYg,Squadron Xocury,9300,0,720,720
uNVNs9,Squadron Xocury,13300,0,720,720
inP21J,Squadron Xocury,78200,2,720,720
emI2aP,Squadron Xocury,9000,0,720,720
9yCdV1,Squadron Xocury,13500,0,720,720
LgEaLG,Squadron Wuwei v12.30,19300,0,720,720
V2h8XG,Squadron Wuwei v12.30,9100,0,720,720
0zbMiD,Squadron Wuwei v12.30,9000,0,720,720
ratSiY,Squadron Wuwei v12.30,48100,1,720,720
mNmsqZ,Squadron Wuwei v12.30,20500,0,720,720
thjYmV,Squadron Tubos,112900,3,720,720
zhrEzR,Squadron Tubos,81700,2,720,720
Z1u8Ja,Squadron Tubos,69300,2,720,720
iRIdje,Squadron Tubos,362300,11,720,720
KvFU4Y,Squadron Tubos,109000,3,720,720
N3S5OT,Squadron Yutera Mk LXXXIV,4200,0,720,720
oHPWvN,Squadron Yutera Mk LXXXIV,4800,0,720,720
wPN04S,Squadron Yutera Mk LXXXIV,4200,0,720,720
dewwVl,Squadron Yutera Mk LXXXIV,13300,0,720,720
iVWt4u,Squadron Yutera Mk LXXXIV,13300,0,720,720
2mVe9c,Squadron Nonia,67800,2,720,720
HDwDdB,Squadron Nonia,317800,10,720,720
xWg7Cq,Squadron Nonia,162900,5,720,720
01DOq1,Squadron Nonia,97000,3,720,720
gRF5eE,Squadron Nonia,97500,3,720,720
s5cdMR,Squadron Sophus,103300,3,720,720
u1Wfh9,Squadron Sophus,62700,2,720,720
iiJBXi,Squadron Sophus,97000,3,720,720
u5sczC,Squadron Sophus,97500,3,720,720
u7rU8U,Squadron Sophus,4800,0,720,720
qmv9fU,Squadron Cotania,0,0,720,720
whU2FV,Squadron Cotania,8500,0,720,720
mlGRGE,Squadron Cotania,66900,2,720,720
Dpu1Wb,Squadron Cotania,13500,0,720,720
KKzB0K,Squadron Cotania,18500,0,720,720
PXPBrH,Squadron Gaphus,350600,11,720,720
J1KeI9,Squadron Gaphus,23300,0,720,720
orTr8W,Squadron Gaphus,173000,5,720,720
amsQus,Squadron Gaphus,103200,3,720,720
BmZx04,Squadron Gaphus,76000,2,720,720
P0cDEK,Squadron Nostea,103900,3,720,720
K0eRyE,Squadron Nostea,103900,3,720,720
oDF8hn,Squadron Nostea,102100,3,720,720
tvYr6f,Squadron Nostea,103900,3,720,720
z87wMJ,Squadron Nostea,4200,0,720,720
r1lHxX,Squadron Relia v12.42,92400,3,720,720
bCFsHy,Squadron Relia v12.42,16000,0,720,720
2epTGN,Squadron Relia v12.42,10800,0,720,720
rOX12X,Squadron Relia v12.42,14200,0,720,720
RpEJHP,Squadron Relia v12.42,15000,0,720,720
4famqs,Squadron Pecury,24800,0,720,720
LEdmgW,Squadron Pecury,9100,0,720,720
rYOrrl,Squadron Pecury,4800,0,720,720
Go2kLf,Squadron Pecury,9100,0,720,720
HFzuvq,Squadron Pecury,0,0,720,720
q1DQDE,Squadron Tepra,14500,0,720,720
Ai77ln,Squadron Tepra,4800,0,720,720
LlW4CJ,Squadron Tepra,167100,5,720,720
oc1rHI,Squadron Tepra,104300,3,720,720
u6L672,Squadron Tepra,81700,2,720,720
BbXDFW,Squadron Tewei v11.69,620400,19,720,720
too8qx,Squadron Tewei v11.69,654300,20,720,720
jcB1pH,Squadron Tewei v11.69,264300,8,720,720
lwHdgJ,Squadron Tewei v11.69,625900,19,720,720
77bY4R,Squadron Tewei v11.69,614500,19,720,720
xLoifx,Squadron Honov,107800,3,720,720
Cj9R0q,Squadron Honov,48100,1,720,720
RvxKSk,Squadron Honov,103200,3,720,720
WzWNij,Squadron Honov,398000,12,720,720
ksd8OX,Squadron Honov,94100,3,720,720
Y3wcH6,Squadron Qewei Mk XCV,19100,0,720,720
5pRmTk,Squadron Qewei Mk XCV,4300,0,720,720
mf0kGP,Squadron Qewei Mk XCV,13300,0,720,720
xMl8mu,Squadron Qewei Mk XCV,29300,1,720,720
ggjcWj,Squadron Qewei Mk XCV,14500,0,720,720
mRazhV,Squadron Purilia Mk XXXV,4200,0,720,720
sotCxD,Squadron Purilia Mk XXXV,15100,0,720,720
pMIviV,Squadron Purilia Mk XXXV,15100,0,720,720
bJWQB0,Squadron Purilia Mk XXXV,14200,0,720,720
tm6DOD,Squadron Purilia Mk XXXV,42900,1,720,720
1PqBxK,Squadron Wonus,550700,17,720,720
