uid,number,squadron,highScore,rank,width,height
Rb5DJ6,#0001,Squadron Gaphus,450400,14,1280,720
AU6AcV,#0001,Squadron Gaphus,392400,12,1280,720
cWt3Nh,#0001,Squadron Gaphus,317800,10,1280,720
WCIDyq,#0002,Squadron Nonia,19500,0,1280,720
1F4E24,#0002,Squadron Nonia,77500,2,1280,720
MIxHsI,#0002,Squadron Nonia,107900,3,1280,720
FCbnpQ,#0003,Squadron Tubos,459300,14,1280,720
LJ8zZ2,#0003,Squadron Tubos,335000,10,1280,720
q8RTts,#0003,Squadron Tubos,313200,10,1280,720
E2eBgW,#0004,Squadron Pecury,10200,0,1280,720
E2iSyk,#0004,Squadron Pecury,18800,0,1280,720
Ppg2sH,#0004,Squadron Pecury,9100,0,1280,720
GUXcWW,#0005,Squadron Cotania,0,0,1280,720
lGYuUo,#0005,Squadron Cotania,196500,6,1280,720
8Fl5Na,#0005,Squadron Cotania,5500,0,1280,720
rdSn6g,#0006,Squadron Sophus,10800,0,1280,720
ZlxFYm,#0006,Squadron Sophus,13300,0,1280,720
qmEfrU,#0006,Squadron Sophus,13500,0,1280,720
nDLKKL,#0007,Squadron Nostea,289300,9,1280,720
kAJVAq,#0007,Squadron Nostea,14500,0,1280,720
pOTjJM,#0007,Squadron Nostea,19000,0,1280,720
SSrrwo,#0008,Squadron Tepra,112900,3,1280,720
1DSgAq,#0008,Squadron Tepra,103700,3,1280,720
cXYKHO,#0008,Squadron Tepra,98500,3,1280,720
DZM9Xp,#0009,Squadron Relia v12.42,104900,3,1280,720
sBtWLl,#0009,Squadron Relia v12.42,23300,0,1280,720
N1n8KC,#0009,Squadron Relia v12.42,0,0,1280,720
1Fnd3e,#0010,Squadron Xocury,9800,0,1280,720
CvSqOU,#0010,Squadron Xocury,0,0,1280,720
QSErf7,#0010,Squadron Xocury,9100,0,1280,720
UHw3UY,#0011,Squadron Wuwei v12.30,175500,5,1280,720
AIg0f2,#0011,Squadron Wuwei v12.30,88300,3,1280,720
g2e7fI,#0011,Squadron Wuwei v12.30,14500,0,1280,720
QKGHrW,#0012,Squadron Yutera Mk LXXXIV,8500,0,1280,720
l2ozqG,#0012,Squadron Yutera Mk LXXXIV,17800,0,1280,720
cgMUdf,#0012,Squadron Yutera Mk LXXXIV,13000,0,1280,720
Sfh6AM,#0013,Squadron Tewei v11.69,676200,21,1280,720
yPfF9y,#0013,Squadron Tewei v11.69,654300,20,1280,720
DetLoG,#0013,Squadron Tewei v11.69,947800,29,1280,720
upStcA,#0014,Squadron Qewei Mk XCV,16000,0,1280,720
dEQruA,#0014,Squadron Qewei Mk XCV,23800,0,1280,720
JfQiMe,#0014,Squadron Qewei Mk XCV,4800,0,1280,720
Cykd4H,#0015,Squadron Honov,323500,10,1280,720
Q7NClV,#0015,Squadron Honov,103700,3,1280,720
WY09W3,#0015,Squadron Honov,97500,3,1280,720
nm6Gum,#0016,Squadron Purilia Mk XXXV,47400,1,1280,720
YzFDRF,#0016,Squadron Purilia Mk XXXV,4200,0,1280,720
LxQ4PA,#0016,Squadron Purilia Mk XXXV,14600,0,1280,720
AJbg08,#0017,Squadron Wonus,223400,7,1280,720
TVOfBd,#0017,Squadron Wonus,334200,10,1280,720
6fH0Hg,#0017,Squadron Wonus,354700,11,1280,720
AfjqBB,#0018,Squadron Buwei,108900,3,1280,720
avuh2j,#0018,Squadron Buwei,107800,3,1280,720
ndlL2g,#0018,Squadron Buwei,112900,3,1280,720
8apZWP,#0019,Squadron Iavis v40.72,610100,19,1280,720
a6v30R,#0019,Squadron Iavis v40.72,571600,18,1280,720
84EdXY,#0019,Squadron Iavis v40.72,581300,18,1280,720
q9Cz2e,#0020,Squadron Humia,13500,0,1280,720
sAiLHr,#0020,Squadron Humia,113600,3,1280,720
8J3igt,#0020,Squadron Humia,46700,1,1280,720
CggNYb,#0021,Squadron Selea,97500,3,1280,720
YaJob7,#0021,Squadron Selea,14000,0,1280,720
rWcLtt,#0021,Squadron Selea,297400,9,1280,720
oaXZYu,#0022,Squadron Yocarro Mk XLVII,253900,8,1280,720
NTBO5y,#0022,Squadron Yocarro Mk XLVII,9300,0,1280,720
fbMAgY,#0022,Squadron Yocarro Mk XLVII,10300,0,1280,720
UV2EQY,#0023,Squadron Manope Mk XXXVII,77500,2,1280,720
9ehyCz,#0023,Squadron Manope Mk XXXVII,58700,2,1280,720
kznD3b,#0023,Squadron Manope Mk XXXVII,20500,0,1280,720
e5diit,#0024,Squadron Wehines Mk L,67800,2,1280,720
SPWWSm,#0024,Squadron Wehines Mk L,4800,0,1280,720
FkLHvU,#0024,Squadron Wehines Mk L,98000,3,1280,720
gxnNY4,#0025,Squadron Iapra,39700,1,1280,720
kwI8Kc,#0025,Squadron Iapra,66200,2,1280,720
RLqzFq,#0025,Squadron Iapra,10300,0,1280,720
U4Ve7S,#0026,Squadron Jolea,10300,0,1280,720
Gw72TA,#0026,Squadron Jolea,167000,5,1280,720
SEOGY3,#0026,Squadron Jolea,23300,0,1280,720
EhYRtX,#0027,Squadron Yutania,20600,0,1280,720
FPWszE,#0027,Squadron Yutania,92900,3,1280,720
TSLVjU,#0027,Squadron Yutania,88300,3,1280,720
kZ2JOV,#0028,Squadron Senus Mk XLIX,603900,19,1280,720
o15cdf,#0028,Squadron Senus Mk XLIX,604800,19,1280,720
oHQt8O,#0028,Squadron Senus Mk XLIX,200900,6,1280,720
LOiDGo,#0029,Squadron Nehiri,9700,0,1280,720
kWDVca,#0029,Squadron Nehiri,4200,0,1280,720
NGqEzv,#0029,Squadron Nehiri,19300,0,1280,720
mu0RO4,#0030,Squadron Yenus,356200,11,1280,720
tsEEXV,#0030,Squadron Yenus,593400,18,1280,720
gdWP1j,#0030,Squadron Yenus,234300,7,1280,720
OZJiCF,#0031,Squadron Ianov,378600,12,1280,720
vzFSDV,#0031,Squadron Ianov,923300,28,1280,720
YEgp04,#0031,Squadron Ianov,1252000,38,1280,720
uwRkZk,#0032,Squadron Later,15100,0,1280,720
NuL7Yr,#0032,Squadron Later,4300,0,1280,720
exijgG,#0032,Squadron Later,93400,3,1280,720
1D348J,#0033,Squadron Lacarro,4300,0,1280,720
2lVw3w,#0033,Squadron Lacarro,0,0,1280,720
ZuFuJk,#0033,Squadron Lacarro,0,0,1280,720
Z4hKMC,#0034,Squadron Pucury v46.28,9800,0,1280,720
x6t7nk,#0034,Squadron Pucury v46.28,83600,2,1280,720
PsBI1O,#0034,Squadron Pucury v46.28,54200,1,1280,720
8wYyjq,#0035,Squadron Haruta Mk XLIX,604100,19,1280,720
Y2EQUE,#0035,Squadron Haruta Mk XLIX,295600,9,1280,720
rw3kLM,#0035,Squadron Haruta Mk XLIX,603200,19,1280,720
xRjyCT,#0036,Squadron Tenia,384400,12,1280,720
RAUdDm,#0036,Squadron Tenia,79700,2,1280,720
A5Kv7g,#0036,Squadron Tenia,334300,10,1280,720
a96uVW,#0037,Squadron Decarro,362300,11,1280,720
nQtGO7,#0037,Squadron Decarro,108300,3,1280,720
pWi64S,#0037,Squadron Decarro,15000,0,1280,720
ojcS8i,#0038,Squadron Selia,4200,0,1280,720
tR3xKy,#0038,Squadron Selia,13300,0,1280,720
JZnBqz,#0038,Squadron Selia,71300,2,1280,720
iDMQeC,#0039,Squadron Cuvis,322800,10,1280,720
nWKZ7E,#0039,Squadron Cuvis,108900,3,1280,720
VCVn3y,#0039,Squadron Cuvis,0,0,1280,720
xNjNMn,#0040,Squadron Wuter Mk XVII,98600,3,1280,720
0FRGZv,#0040,Squadron Wuter Mk XVII,261600,8,1280,720
UdkxRU,#0040,Squadron Wuter Mk XVII,99100,3,1280,720
gfc5xa,#0041,Squadron Toliv v6.73,17800,0,1280,720
QGwNZY,#0041,Squadron Toliv v6.73,92900,3,1280,720
rNHGHc,#0041,Squadron Toliv v6.73,108800,3,1280,720
8vb3BX,#0042,Squadron Potera,4200,0,1280,720
qFLTGD,#0042,Squadron Potera,41500,1,1280,720
52cp4m,#0042,Squadron Potera,13300,0,1280,720
mB7KIP,#0043,Squadron Dayama,20800,0,1280,720
y8LieZ,#0043,Squadron Dayama,102600,3,1280,720
UZYTqa,#0043,Squadron Dayama,302500,9,1280,720
OdNK8L,#0044,Squadron Wunus,9300,0,1280,720
W4Tm97,#0044,Squadron Wunus,19300,0,1280,720
Js8k6t,#0044,Squadron Wunus,14600,0,1280,720
besUoW,#0045,Squadron Futer,20500,0,1280,720
04rdx7,#0045,Squadron Futer,4200,0,1280,720
yB4ZOA,#0045,Squadron Futer,10800,0,1280,720
XBKWuC,#0046,Squadron Henerth Mk VIII,14600,0,1280,720
h1ODUL,#0046,Squadron Henerth Mk VIII,4800,0,1280,720
jrOxCS,#0046,Squadron Henerth Mk VIII,10300,0,1280,720
TejYyh,#0047,Squadron Futis,19000,0,1280,720
O7wsqX,#0047,Squadron Futis,164300,5,1280,720
sGj7wm,#0047,Squadron Futis,98500,3,1280,720
halJbT,#0048,Squadron Yayama,312700,10,1280,720
6gEI7U,#0048,Squadron Yayama,356200,11,1280,720
b1dQIL,#0048,Squadron Yayama,14800,0,1280,720
BaiNIX,#0049,Squadron Ronus v28.11,77000,2,1280,720
3zZdtM,#0049,Squadron Ronus v28.11,592700,18,1280,720
FYt1EG,#0049,Squadron Ronus v28.11,340000,11,1280,720
Ut044L,#0050,Squadron Dovis v46.22,10300,0,1280,720
qo0J8t,#0050,Squadron Dovis v46.22,0,0,1280,720
dbIADy,#0050,Squadron Dovis v46.22,0,0,1280,720
8phkVi,#0051,Squadron Xaturn,9300,0,1280,720
MOqb9H,#0051,Squadron Xaturn,0,0,1280,720
yK4TpG,#0051,Squadron Xaturn,0,0,1280,720
pHDoAZ,#0052,Squadron Qustea,54200,1,1280,720
Lkj509,#0052,Squadron Qustea,9300,0,1280,720
bXaSNQ,#0052,Squadron Qustea,88300,3,1280,720
sTOiNj,#0053,Squadron Zostea,620600,19,1280,720
Ei35Z8,#0053,Squadron Zostea,486700,15,1280,720
eyFcmh,#0053,Squadron Zostea,455200,14,1280,720
