uid,number,squadron,name,value,weapon,gimbal,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
Gaphus vs Sophus,#0001,Gaphus,Gaphus,0.756,Plasma Cannon,G180,SC800,T18,S10,C125,100,-1,140,0,346.88,399,1600,900
Gaphus vs Sophus,#0001,Gaphus,Woyama v47.20,0.711,Fusion Cannon,G240,SC800,T15,S12,C150,125,0,112,0,234.84,399,1600,900
Gaphus vs Sophus,#0001,Gaphus,Samia,0.695,Plasma Cannon,G360,SC800,T18,S4,C100,75,-1,110,0,171.61,399,1600,900
Gaphus vs Sophus,#0001,Gaphus,Detania Mk LIV,0.683,Phase Rifle,G240,SC400,T20,S6,C175,150,-4,16,0,152.90,399,1600,900
Gaphus vs Sophus,#0001,Gaphus,Meruta v45.20,0.678,Pulse Rifle,G360,SC800,T15,S10,C150,125,-6,141,2,398.69,399,1600,900
Gaphus vs Sophus,#0001,Gaphus,Ganov v44.95,0.611,Phase Rifle,G60,SC600,T15,S12,C150,125,-1,128,2,224.92,399,1600,900
Gaphus vs Sophus,#0006,Sophus,Sophus,0.667,Plasma Cannon,G240,SC800,T15,S4,C125,100,45,270,2,,399,1600,900
Gaphus vs Sophus,#0006,Sophus,Nerilia,0.628,Phase Rifle,G180,SC600,T12,S12,C125,100,-2,112,0,137.02,399,1600,900
Gaphus vs Sophus,#0006,Sophus,Muthea,0.545,Pulse Rifle,G180,SC500,T15,S8,C175,150,25,138,1,,399,1600,900
Gaphus vs Sophus,#0006,Sophus,Ketis,0.539,Arc Gun,G60,SC800,T10,S10,C150,125,-11,67,0,193.51,399,1600,900
Gaphus vs Sophus,#0006,Sophus,Puliv,0.467,Arc Gun,G60,SC300,T18,S10,C125,100,-2,72,3,321.12,399,1600,900
Gaphus vs Sophus,#0006,Sophus,Wophus,0.395,Pulse Rifle,G120,SC300,T12,S8,C150,125,-2,54,0,326.19,399,1600,900
Nonia vs Cotania,#0002,Nonia,Nonia,0.656,Fusion Cannon,G360,SC600,T12,S10,C175,150,-6,160,1,198.25,2611,1600,900
Nonia vs Cotania,#0002,Nonia,Henia v33.30,0.644,Pulse Rifle,G360,SC600,T18,S15,C100,75,-3,12,0,59.46,2611,1600,900
Nonia vs Cotania,#0002,Nonia,Westea v48.19,0.639,Pulse Rifle,G240,SC600,T20,S6,C175,150,-5,90,1,299.81,2611,1600,900
Nonia vs Cotania,#0002,Nonia,Quter,0.606,Arc Gun,G240,SC500,T12,S8,C175,150,-8,174,2,423.88,2611,1600,900
