uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
Gaphus vs Sophus,#0001,Gaphus,0,-1,4,0,0,399,1600,900
Gaphus vs Sophus,#0006,Sophus,0,1,6,70,2,399,1600,900
Nonia vs Cotania,#0002,Nonia,0,1,6,37,1,2611,1600,900
Nonia vs Cotania,#0005,Cotania,0,-1,5,0,0,2611,1600,900
Tubos vs Pecury,#0003,Tubos,0,-1,1,0,0,420,1600,900
Tubos vs Pecury,#0004,Pecury,0,1,6,105,5,420,1600,900
Gaphus vs Cotania,#0001,Gaphus,0,1,6,392,6,265,1600,900
Gaphus vs Cotania,#0005,Cotania,0,-1,0,0,0,265,1600,900
Sophus vs Pecury,#0006,Sophus,0,1,6,147,3,436,1600,900
Sophus vs Pecury,#0004,Pecury,0,-1,3,0,0,436,1600,900
Nonia vs Tubos,#0002,Nonia,0,-1,4,0,0,822,1600,900
Nonia vs Tubos,#0003,Tubos,0,1,6,138,2,822,1600,900
Gaphus vs Pecury,#0001,Gaphus,0,1,6,202,4,250,1600,900
Gaphus vs Pecury,#0004,Pecury,0,-1,2,0,0,250,1600,900
Cotania vs Tubos,#0005,Cotania,0,-1,3,0,0,401,1600,900
Cotania vs Tubos,#0003,Tubos,0,1,6,267,3,401,1600,900
Sophus vs Nonia,#0006,Sophus,0,-1,1,0,0,387,1600,900
Sophus vs Nonia,#0002,Nonia,0,1,6,246,5,387,1600,900
Gaphus vs Tubos,#0001,Gaphus,0,-1,5,0,0,500,1600,900
Gaphus vs Tubos,#0003,Tubos,0,1,6,44,1,500,1600,900
Pecury vs Nonia,#0004,Pecury,0,-1,0,0,0,275,1600,900
Pecury vs Nonia,#0002,Nonia,0,1,6,388,6,275,1600,900
Cotania vs Sophus,#0005,Cotania,0,-1,2,0,0,411,1600,900
Cotania vs Sophus,#0006,Sophus,0,1,6,197,4,411,1600,900
Gaphus vs Nonia,#0001,Gaphus,0,-1,5,0,0,365,1600,900
Gaphus vs Nonia,#0002,Nonia,0,1,6,33,1,365,1600,900
Tubos vs Sophus,#0003,Tubos,0,1,6,189,5,343,1600,900
Tubos vs Sophus,#0006,Sophus,0,-1,1,0,0,343,1600,900
Pecury vs Cotania,#0004,Pecury,0,-1,1,0,0,391,1600,900
Pecury vs Cotania,#0005,Cotania,0,1,6,104,5,391,1600,900
