uid,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
LWemYg,Squadron Xocury,0,-1,2,0,0,259,720,720
uNVNs9,Squadron Xocury,0,-1,3,0,0,329,720,720
inP21J,Squadron Xocury,0,1,6,135,4,284,720,720
inP21J,Squadron Xocury,1,1,6,149,5,256,720,720
inP21J,Squadron Xocury,2,-1,4,0,0,371,720,720
emI2aP,Squadron Xocury,0,-1,2,0,0,251,720,720
9yCdV1,Squadron Xocury,0,-1,3,0,0,320,720,720
LgEaLG,Squadron Wuwei v12.30,0,-1,4,0,0,431,720,720
V2h8XG,Squadron Wuwei v12.30,0,-1,2,0,0,298,720,720
0zbMiD,Squadron Wuwei v12.30,0,-1,2,0,0,337,720,720
ratSiY,Squadron Wuwei v12.30,0,1,6,153,4,248,720,720
ratSiY,Squadron Wuwei v12.30,1,-1,4,0,0,436,720,720
mNmsqZ,Squadron Wuwei v12.30,0,-1,4,0,0,361,720,720
thjYmV,Squadron Tubos,0,1,6,238,4,317,720,720
thjYmV,Squadron Tubos,1,1,6,281,5,241,720,720
thjYmV,Squadron Tubos,2,1,6,94,3,301,720,720
thjYmV,Squadron Tubos,3,-1,5,0,0,375,720,720
zhrEzR,Squadron Tubos,0,1,6,201,3,322,720,720
zhrEzR,Squadron Tubos,1,1,6,273,5,261,720,720
zhrEzR,Squadron Tubos,2,-1,5,0,0,424,720,720
Z1u8Ja,Squadron Tubos,0,1,6,133,3,350,720,720
Z1u8Ja,Squadron Tubos,1,1,6,130,2,351,720,720
Z1u8Ja,Squadron Tubos,2,-1,2,0,0,273,720,720
iRIdje,Squadron Tubos,0,1,6,323,5,240,720,720
iRIdje,Squadron Tubos,1,1,6,311,5,262,720,720
iRIdje,Squadron Tubos,2,1,6,196,3,320,720,720
iRIdje,Squadron Tubos,3,1,6,56,2,444,720,720
iRIdje,Squadron Tubos,4,1,6,412,4,208,720,720
iRIdje,Squadron Tubos,5,1,6,253,6,293,720,720
iRIdje,Squadron Tubos,6,1,6,426,6,292,720,720
iRIdje,Squadron Tubos,7,1,6,249,4,246,720,720
iRIdje,Squadron Tubos,8,1,6,302,2,380,720,720
iRIdje,Squadron Tubos,9,1,6,61,2,420,720,720
iRIdje,Squadron Tubos,10,1,6,94,2,435,720,720
iRIdje,Squadron Tubos,11,-1,4,0,0,306,720,720
KvFU4Y,Squadron Tubos,0,1,6,261,3,318,720,720
KvFU4Y,Squadron Tubos,1,1,6,344,4,234,720,720
KvFU4Y,Squadron Tubos,2,1,6,331,5,284,720,720
KvFU4Y,Squadron Tubos,3,-1,4,0,0,456,720,720
N3S5OT,Squadron Yutera Mk LXXXIV,0,-1,1,0,0,232,720,720
oHPWvN,Squadron Yutera Mk LXXXIV,0,-1,1,0,0,221,720,720
wPN04S,Squadron Yutera Mk LXXXIV,0,-1,1,0,0,253,720,720
dewwVl,Squadron Yutera Mk LXXXIV,0,-1,3,0,0,292,720,720
iVWt4u,Squadron Yutera Mk LXXXIV,0,-1,3,0,0,318,720,720
2mVe9c,Squadron Nonia,0,1,6,141,4,324,720,720
2mVe9c,Squadron Nonia,1,1,6,466,5,227,720,720
2mVe9c,Squadron Nonia,2,-1,2,0,0,338,720,720
HDwDdB,Squadron Nonia,0,1,6,256,5,275,720,720
HDwDdB,Squadron Nonia,1,1,6,340,6,214,720,720
HDwDdB,Squadron Nonia,2,1,6,279,4,284,720,720
HDwDdB,Squadron Nonia,3,1,6,47,1,423,720,720
HDwDdB,Squadron Nonia,4,1,6,388,6,193,720,720
HDwDdB,Squadron Nonia,5,1,6,252,5,286,720,720
HDwDdB,Squadron Nonia,6,1,6,187,3,322,720,720
HDwDdB,Squadron Nonia,7,1,6,374,6,248,720,720
HDwDdB,Squadron Nonia,8,1,6,42,2,388,720,720
HDwDdB,Squadron Nonia,9,1,6,46,1,480,720,720
HDwDdB,Squadron Nonia,10,-1,2,0,0,352,720,720
xWg7Cq,Squadron Nonia,0,1,6,4,1,486,720,720
xWg7Cq,Squadron Nonia,1,1,6,298,5,240,720,720
xWg7Cq,Squadron Nonia,2,1,6,173,4,378,720,720
xWg7Cq,Squadron Nonia,3,1,6,224,4,367,720,720
xWg7Cq,Squadron Nonia,4,1,6,444,6,204,720,720
xWg7Cq,Squadron Nonia,5,-1,3,0,0,472,720,720
01DOq1,Squadron Nonia,0,1,6,153,3,378,720,720
01DOq1,Squadron Nonia,1,1,6,186,3,325,720,720
01DOq1,Squadron Nonia,2,1,6,300,6,282,720,720
01DOq1,Squadron Nonia,3,-1,2,0,0,381,720,720
gRF5eE,Squadron Nonia,0,1,6,47,2,356,720,720
gRF5eE,Squadron Nonia,1,1,6,312,6,277,720,720
gRF5eE,Squadron Nonia,2,1,6,388,5,253,720,720
gRF5eE,Squadron Nonia,3,-1,2,0,0,322,720,720
s5cdMR,Squadron Sophus,0,1,6,186,4,232,720,720
s5cdMR,Squadron Sophus,1,1,6,195,4,209,720,720
s5cdMR,Squadron Sophus,2,1,6,84,4,277,720,720
s5cdMR,Squadron Sophus,3,-1,3,0,0,287,720,720
u1Wfh9,Squadron Sophus,0,1,6,220,5,221,720,720
u1Wfh9,Squadron Sophus,1,1,6,6,1,506,720,720
u1Wfh9,Squadron Sophus,2,-1,1,0,0,345,720,720
iiJBXi,Squadron Sophus,0,1,6,263,5,288,720,720
iiJBXi,Squadron Sophus,1,1,6,318,6,209,720,720
iiJBXi,Squadron Sophus,2,1,6,133,3,302,720,720
iiJBXi,Squadron Sophus,3,-1,2,0,0,303,720,720
u5sczC,Squadron Sophus,0,1,6,171,3,290,720,720
u5sczC,Squadron Sophus,1,1,6,272,6,258,720,720
u5sczC,Squadron Sophus,2,1,6,255,6,271,720,720
u5sczC,Squadron Sophus,3,-1,2,0,0,243,720,720
u7rU8U,Squadron Sophus,0,-1,1,0,0,308,720,720
qmv9fU,Squadron Cotania,0,-1,0,0,0,246,720,720
whU2FV,Squadron Cotania,0,-1,2,0,0,287,720,720
mlGRGE,Squadron Cotania,0,1,6,139,4,287,720,720
mlGRGE,Squadron Cotania,1,1,6,134,3,319,720,720
mlGRGE,Squadron Cotania,2,-1,2,0,0,208,720,720
Dpu1Wb,Squadron Cotania,0,-1,3,0,0,294,720,720
KKzB0K,Squadron Cotania,0,-1,4,0,0,312,720,720
PXPBrH,Squadron Gaphus,0,1,6,194,5,235,720,720
PXPBrH,Squadron Gaphus,1,1,6,275,6,222,720,720
PXPBrH,Squadron Gaphus,2,1,6,256,5,236,720,720
PXPBrH,Squadron Gaphus,3,1,6,150,3,298,720,720
PXPBrH,Squadron Gaphus,4,1,6,351,5,172,720,720
PXPBrH,Squadron Gaphus,5,1,6,115,3,237,720,720
PXPBrH,Squadron Gaphus,6,1,6,224,5,236,720,720
PXPBrH,Squadron Gaphus,7,1,6,128,4,244,720,720
PXPBrH,Squadron Gaphus,8,1,6,182,5,257,720,720
PXPBrH,Squadron Gaphus,9,1,6,60,4,266,720,720
PXPBrH,Squadron Gaphus,10,1,6,132,3,306,720,720
PXPBrH,Squadron Gaphus,11,-1,2,0,0,268,720,720
J1KeI9,Squadron Gaphus,0,-1,5,0,0,399,720,720
