uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
soXwAm,#0001,Squadron Gaphus,0,1,6,308,5,370,1600,900
soXwAm,#0001,Squadron Gaphus,1,1,6,283,5,307,1600,900
soXwAm,#0001,Squadron Gaphus,2,1,6,151,4,292,1600,900
soXwAm,#0001,Squadron Gaphus,3,-1,2,0,0,424,1600,900
qobyz4,#0001,Squadron Gaphus,0,1,6,250,4,525,1600,900
qobyz4,#0001,Squadron Gaphus,1,1,6,107,3,254,1600,900
qobyz4,#0001,Squadron Gaphus,2,1,6,130,3,280,1600,900
qobyz4,#0001,Squadron Gaphus,3,1,6,276,4,404,1600,900
qobyz4,#0001,Squadron Gaphus,4,1,6,340,5,192,1600,900
qobyz4,#0001,Squadron Gaphus,5,1,6,324,6,263,1600,900
qobyz4,#0001,Squadron Gaphus,6,1,6,414,6,267,1600,900
qobyz4,#0001,Squadron Gaphus,7,1,6,311,5,237,1600,900
qobyz4,#0001,Squadron Gaphus,8,1,6,312,5,371,1600,900
qobyz4,#0001,Squadron Gaphus,9,1,6,235,4,305,1600,900
qobyz4,#0001,Squadron Gaphus,10,1,6,190,4,296,1600,900
qobyz4,#0001,Squadron Gaphus,11,1,6,97,2,346,1600,900
qobyz4,#0001,Squadron Gaphus,12,-1,3,0,0,628,1600,900
cbWG9i,#0001,Squadron Gaphus,0,1,6,240,5,276,1600,900
cbWG9i,#0001,Squadron Gaphus,1,1,6,413,6,189,1600,900
cbWG9i,#0001,Squadron Gaphus,2,1,6,35,2,794,1600,900
cbWG9i,#0001,Squadron Gaphus,3,1,6,104,3,371,1600,900
cbWG9i,#0001,Squadron Gaphus,4,1,6,508,6,269,1600,900
cbWG9i,#0001,Squadron Gaphus,5,1,6,328,4,344,1600,900
cbWG9i,#0001,Squadron Gaphus,6,1,6,329,6,239,1600,900
cbWG9i,#0001,Squadron Gaphus,7,-1,4,0,0,702,1600,900
W9Mf3a,#0002,Squadron Nonia,0,-1,3,0,0,706,1600,900
fJYXox,#0002,Squadron Nonia,0,1,6,145,2,344,1600,900
fJYXox,#0002,Squadron Nonia,1,1,6,184,4,356,1600,900
fJYXox,#0002,Squadron Nonia,2,1,6,353,5,423,1600,900
fJYXox,#0002,Squadron Nonia,3,1,6,157,3,739,1600,900
fJYXox,#0002,Squadron Nonia,4,1,6,469,6,211,1600,900
fJYXox,#0002,Squadron Nonia,5,1,6,421,6,285,1600,900
fJYXox,#0002,Squadron Nonia,6,1,6,211,3,430,1600,900
fJYXox,#0002,Squadron Nonia,7,1,6,297,5,359,1600,900
fJYXox,#0002,Squadron Nonia,8,1,6,279,5,283,1600,900
fJYXox,#0002,Squadron Nonia,9,-1,4,0,0,1321,1600,900
3tZHjI,#0002,Squadron Nonia,0,1,6,115,1,383,1600,900
3tZHjI,#0002,Squadron Nonia,1,1,6,388,5,273,1600,900
3tZHjI,#0002,Squadron Nonia,2,1,6,365,4,337,1600,900
3tZHjI,#0002,Squadron Nonia,3,1,6,98,2,1056,1600,900
3tZHjI,#0002,Squadron Nonia,4,1,6,430,5,264,1600,900
3tZHjI,#0002,Squadron Nonia,5,1,6,277,4,439,1600,900
3tZHjI,#0002,Squadron Nonia,6,1,6,317,4,356,1600,900
3tZHjI,#0002,Squadron Nonia,7,1,6,75,2,353,1600,900
3tZHjI,#0002,Squadron Nonia,8,1,6,204,4,761,1600,900
3tZHjI,#0002,Squadron Nonia,9,1,6,133,4,399,1600,900
3tZHjI,#0002,Squadron Nonia,10,1,6,60,1,1521,1600,900
3tZHjI,#0002,Squadron Nonia,11,1,6,84,3,534,1600,900
3tZHjI,#0002,Squadron Nonia,12,1,6,26,1,619,1600,900
