playerOne,playerTwo,round,playerOneWins,playerTwoWins,draws
Xulia,Pecury,1,2,1,0
Zoclite,Wuwei v12.30,1,3,0,0
Toliv v6.73,Iuzuno,1,1,2,0
Vophus,Sophus,1,0,3,0
Bonope,Dayama,1,0,3,0
Selea,Qaturn,1,2,1,0
Yestea,Ferilia,1,0,3,0
Secarro,Wahiri Mk LXXIV,1,2,1,0
Nostea,Gaphus,1,1,2,0
Decarro,Huthea,1,3,0,0
Selia,Yenus,1,0,3,0
Jolea,Yutania,1,3,0,0
Fupra,Fucury,1,3,0,0
Tenia,Qustea,1,3,0,0
Nalea v36.5,Dovis v46.22,1,3,0,0
Qater,Dutune,1,2,1,0
Tonides,Turilia v28.53,1,0,3,0
Cuvis,Later,1,2,1,0
Qalea,Xocury,1,3,0,0
Fabos,Jenides,1,0,3,0
Gohiri,Nutera,1,3,0,0
Futer,Zuter,1,0,3,0
Huyama,Haruta Mk XLIX,1,3,0,0
Potera,Doyama Mk VII,1,0,3,0
Ienov,Petania Mk LXXXVII,1,1,2,0
Tewei v11.69,Humia,1,3,0,0
Peturn,Honov,1,0,3,0
Wuturn v18.96,Monus,1,1,2,0
Lanus,Logawa,1,1,2,0
Julea,Qunus,1,2,1,0
Henerth Mk VIII,Nonia,1,0,3,0
Tepra,Iapra,1,1,2,0
Vathea,Zostea,1,1,2,0
Yutera Mk LXXXIV,Yayama,1,0,3,0
Foter,Ronus v28.11,1,2,1,0
Xaturn,Tubos,1,0,3,0
Suria Mk XCVII,Iavis v40.72,1,0,3,0
Vucarro v33.11,Nanov,1,0,3,0
Lacarro,Nehiri,1,1,2,0
Manope Mk XXXVII,Wonus,1,0,3,0
Fuwei,Senus Mk XLIX,1,1,2,0
Halea v22.63,Wunus,1,1,2,0
Guthea,Wustea Mk LXXXVI,1,1,2,0
Purilia Mk XXXV,Hunus v28.9,1,0,3,0
Buwei,Wehines Mk L,1,2,1,0
Rugawa,Ianov,1,1,2,0
Qewei Mk XCV,Xotune v29.73,1,0,3,0
Rozuno,Pucury v46.28,1,2,1,0
Yocarro Mk XLVII,Futis,1,3,0,0
Megantu,Funerth,1,0,3,0
Wuter Mk XVII,Sulara v35.90,1,0,3,0
Qewei,Cotania,1,3,0,0
Relia v12.42,Bye,1,1,0,0
Wustea Mk LXXXVI,Honov,2,3,0,0
Nehiri,Xotune v29.73,2,1,2,0
Funerth,Doyama Mk VII,2,2,1,0
Ianov,Foter,2,3,0,0
Tewei v11.69,Yocarro Mk XLVII,2,2,1,0
Nanov,Dayama,2,1,2,0
Gohiri,Jolea,2,2,1,0
Zoclite,Petania Mk LXXXVII,2,2,1,0
Relia v12.42,Zostea,2,0,3,0
Nalea v36.5,Xulia,2,3,0,0
Sophus,Turilia v28.53,2,1,2,0
Logawa,Fupra,2,1,2,0
Ferilia,Secarro,2,0,3,0
Wonus,Tubos,2,2,1,0
Buwei,Nonia,2,2,1,0
Iuzuno,Sulara v35.90,2,0,3,0
Yayama,Zuter,2,3,0,0
Tenia,Hunus v28.9,2,0,3,0
Decarro,Cuvis,2,3,0,0
Jenides,Qater,2,1,2,0
Yenus,Huyama,2,1,2,0
Selea,Qalea,2,2,1,0
Qewei,Rozuno,2,1,2,0
Iapra,Senus Mk XLIX,2,0,3,0
Julea,Monus,2,1,2,0
Wunus,Gaphus,2,0,3,0
Iavis v40.72,Qewei Mk XCV,2,3,0,0
Ronus v28.11,Later,2,2,1,0
Dovis v46.22,Futis,2,1,2,0
Fuwei,Wahiri Mk LXXIV,2,3,0,0
Vathea,Purilia Mk XXXV,2,2,1,0
Futer,Halea v22.63,2,0,3,0
Yutania,Guthea,2,1,2,0
Tonides,Rugawa,2,1,2,0
Toliv v6.73,Xocury,2,2,1,0
Cotania,Wuturn v18.96,2,0,3,0
Nostea,Fucury,2,1,2,0
Lanus,Suria Mk XCVII,2,3,0,0
Pecury,Pucury v46.28,2,0,3,0
Haruta Mk XLIX,Tepra,2,3,0,0
Wuwei v12.30,Qustea,2,2,1,0
Potera,Fabos,2,0,3,0
Manope Mk XXXVII,Huthea,2,1,2,0
Humia,Bonope,2,2,1,0
Yestea,Vophus,2,1,2,0
Henerth Mk VIII,Lacarro,2,1,2,0
Peturn,Wuter Mk XVII,2,1,2,0
Dutune,Vucarro v33.11,2,2,1,0
Qaturn,Yutera Mk LXXXIV,2,3,0,0
Ienov,Megantu,2,3,0,0
Selia,Xaturn,2,1,2,0
Qunus,Nutera,2,2,1,0
Wehines Mk L,Bye,2,1,0,0
Nalea v36.5,Tewei v11.69,3,1,2,0
Iavis v40.72,Fupra,3,2,1,0
Secarro,Huyama,3,0,3,0
Sulara v35.90,Wonus,3,2,1,0
Monus,Senus Mk XLIX,3,1,2,0
Zoclite,Xotune v29.73,3,0,3,0
Buwei,Decarro,3,1,2,0
Hunus v28.9,Rozuno,3,3,0,0
Dayama,Zostea,3,1,2,0
Selea,Gohiri,3,2,1,0
Turilia v28.53,Funerth,3,0,3,0
Wustea Mk LXXXVI,Ianov,3,3,0,0
Gaphus,Qater,3,3,0,0
Yayama,Vophus,3,3,0,0
Ienov,Fucury,3,3,0,0
Yocarro Mk XLVII,Nanov,3,1,2,0
Humia,Iuzuno,3,2,1,0
Tenia,Wuturn v18.96,3,1,2,0
Huthea,Qalea,3,1,2,0
Cuvis,Fuwei,3,0,3,0
Rugawa,Jenides,3,3,0,0
Xulia,Vathea,3,1,2,0
Dutune,Sophus,3,3,0,0
Guthea,Jolea,3,2,1,0
Doyama Mk VII,Haruta Mk XLIX,3,1,2,0
Qewei,Nehiri,3,2,1,0
Pucury v46.28,Lanus,3,1,2,0
Lacarro,Nonia,3,0,3,0
Petania Mk LXXXVII,Foter,3,3,0,0
Wuter Mk XVII,Julea,3,1,2,0
Ronus v28.11,Futis,3,2,1,0
Tubos,Qunus,3,3,0,0
Logawa,Ferilia,3,2,1,0
Wehines Mk L,Zuter,3,1,2,0
Toliv v6.73,Honov,3,0,3,0
Fabos,Relia v12.42,3,0,3,0
Qaturn,Iapra,3,3,0,0
Xaturn,Yenus,3,0,3,0
Wunus,Wuwei v12.30,3,3,0,0
Halea v22.63,Bonope,3,2,1,0
Yestea,Futer,3,3,0,0
Qustea,Potera,3,3,0,0
Yutania,Peturn,3,1,2,0
Vucarro v33.11,Purilia Mk XXXV,3,2,1,0
Cotania,Suria Mk XCVII,3,0,3,0
Qewei Mk XCV,Tonides,3,1,2,0
Dovis v46.22,Selia,3,1,2,0
Henerth Mk VIII,Later,3,0,3,0
Manope Mk XXXVII,Tepra,3,2,1,0
Megantu,Wahiri Mk LXXIV,3,0,3,0
