playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0008,Tepra,#0094,Monus,1,0,3,0
#0033,Lacarro,#0010,Xocury,1,3,0,0
#0102,Huyama,#0020,Humia,1,3,0,0
#0081,Wustea Mk LXXXVI,#0089,Lanus,1,3,0,0
#0037,Decarro,#0021,Selea,1,1,2,0
#0079,Dutune,#0047,Futis,1,3,0,0
#0080,Fuwei,#0119,Xunus Mk XII,1,1,2,0
#0053,Zostea,#0095,Rugawa,1,0,3,0
#0088,Julea,#0077,Vucarro v33.11,1,1,2,0
#0107,Danov,#0091,Qalea,1,1,2,0
#0070,Qunus,#0019,Iavis v40.72,1,0,3,0
#0071,Secarro,#0013,Tewei v11.69,1,1,2,0
#0072,Xulia,#0049,Ronus v28.11,1,0,3,0
#0038,Selia,#0005,Cotania,1,1,2,0
#0018,Buwei,#0040,Wuter Mk XVII,1,1,2,0
#0050,Dovis v46.22,#0116,Soria,1,0,3,0
#0046,Henerth Mk VIII,#0069,Bonope,1,0,3,0
#0056,Wahiri Mk LXXIV,#0110,Keclite,1,2,1,0
#0093,Megantu,#0087,Doyama Mk VII,1,1,2,0
#0055,Sulara v35.90,#0043,Dayama,1,3,0,0
#0122,Wanope,#0045,Futer,1,3,0,0
#0002,Nonia,#0041,Toliv v6.73,1,3,0,0
#0075,Jenides,#0103,Xotune v29.73,1,0,3,0
#0009,Relia v12.42,#0027,Yutania,1,1,2,0
#0015,Honov,#0031,Ianov,1,1,2,0
#0068,Fucury,#0113,Kunope,1,0,3,0
#0106,Jatania,#0104,Nutera,1,3,0,0
#0051,Xaturn,#0084,Iuzuno,1,0,3,0
#0098,Suria Mk XCVII,#0007,Nostea,1,0,3,0
#0025,Iapra,#0111,Herilia v14.82,1,0,3,0
#0117,Cethea,#0036,Tenia,1,0,3,0
#0054,Halea v22.63,#0066,Ferilia,1,2,1,0
#0006,Sophus,#0100,Turilia v28.53,1,1,2,0
#0022,Yocarro Mk XLVII,#0044,Wunus,1,2,1,0
#0057,Ienov,#0118,Pucarro,1,1,2,0
#0096,Funerth,#0017,Wonus,1,0,3,0
#0078,Zuter,#0064,Zoclite,1,0,3,0
#0101,Fabos,#0004,Pecury,1,3,0,0
#0108,Getis,#0012,Yutera Mk LXXXIV,1,3,0,0
#0052,Qustea,#0026,Jolea,1,1,2,0
#0028,Senus Mk XLIX,#0024,Wehines Mk L,1,3,0,0
#0003,Tubos,#0035,Haruta Mk XLIX,1,0,3,0
#0061,Wuturn v18.96,#0076,Qater,1,1,2,0
#0011,Wuwei v12.30,#0060,Tonides,1,0,3,0
#0067,Rozuno,#0099,Vathea,1,0,3,0
#0074,Petania Mk LXXXVII,#0120,Waria v41.6,1,2,1,0
#0086,Peturn,#0048,Yayama,1,0,3,0
#0029,Nehiri,#0059,Qewei,1,1,2,0
#0034,Pucury v46.28,#0115,Lethea Mk XCVII,1,1,2,0
#0001,Gaphus,#0030,Yenus,1,0,3,0
#0090,Gohiri,#0023,Manope Mk XXXVII,1,3,0,0
#0085,Fupra,#0062,Nanov,1,3,0,0
#0058,Guthea,#0032,Later,1,2,1,0
#0097,Foter,#0082,Qaturn,1,1,2,0
#0039,Cuvis,#0112,Matania,1,0,3,0
