squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,gameWinPercentage,opponents
Qater,"w,w,l,w,w,l,l",7,12,21,30,0,0,0.47619047619047616,"Dutune,Jenides,Gaphus,Dayama,Selea,Nanov,Senus Mk XLIX"
Sophus,"w,l,l,l,w,l,l",7,6,21,24,0,0,0.38095238095238093,"Vophus,Turilia v28.53,Dutune,Cuvis,Xulia,Wuter Mk XVII,Logawa"
Monus,"w,w,l,w,l,l,w",7,12,21,36,0,0,0.5714285714285714,"Wuturn v18.96,Julea,Senus Mk XLIX,Buwei,Fupra,Decarro,Iuzuno"
Ferilia,"w,l,l,w,l,w,w",7,12,21,39,0,0,0.6190476190476191,"Yestea,Secarro,Logawa,Xocury,Doyama Mk VII,Jenides,Wuturn v18.96"
Megantu,"l,l,l,w,w,l,l",7,6,21,21,0,0,0.3333333333333333,"Funerth,Ienov,Wahiri Mk LXXIV,Dovis v46.22,Selia,Foter,Qewei Mk XCV"
Cotania,"l,l,l,l,w,l,l",7,3,21,12,0,0,0.33,"Qewei,Wuturn v18.96,Suria Mk XCVII,Purilia Mk XXXV,Futer,Futis,Bonope"
Purilia Mk XXXV,"l,l,l,w,w,l,w",7,9,21,33,0,0,0.5238095238095238,"Hunus v28.9,Vathea,Vucarro v33.11,Cotania,Yutera Mk LXXXIV,Jolea,Nutera"
Buwei,"w,w,l,l,w,l,l",7,9,21,27,0,0,0.42857142857142855,"Wehines Mk L,Nonia,Decarro,Monus,Halea v22.63,Xotune v29.73,Tenia"
Honov,"w,l,w,w,w,w,l",7,15,21,39,0,0,0.6190476190476191,"Peturn,Wustea Mk LXXXVI,Toliv v6.73,Secarro,Guthea,Fuwei,Huyama"
Vathea,"l,w,w,l,w,l,l",7,9,21,33,0,0,0.5238095238095238,"Zostea,Purilia Mk XXXV,Xulia,Ienov,Nostea,Guthea,Ronus v28.11"
Wuwei v12.30,"l,w,l,l,l,w,l",7,6,21,21,0,0,0.3333333333333333,"Zoclite,Qustea,Wunus,Manope Mk XXXVII,Yutania,Selia,Futis"
Xaturn,"l,w,l,l,l,l,l",7,3,21,9,0,0,0.33,"Tubos,Selia,Yenus,Suria Mk XCVII,Wuturn v18.96,Potera,Henerth Mk VIII"
Humia,"l,w,w,l,w,l,w",7,12,21,30,0,0,0.47619047619047616,"Tewei v11.69,Bonope,Iuzuno,Gohiri,Lacarro,Zuter,Yutania"
Sulara v35.90,"w,w,w,w,w,w,l,w,w,l,w,l",12,27,36,66,0,0,0.6111111111111112,"Wuter Mk XVII,Iuzuno,Wonus,Zostea,Yayama,Tewei v11.69,Wustea Mk LXXXVI,Ianov,Wustea Mk LXXXVI,Huyama,Wustea Mk LXXXVI,Huyama"
Logawa,"w,l,w,l,l,l,w",7,9,21,30,0,0,0.47619047619047616,"Lanus,Fupra,Ferilia,Tubos,Yocarro Mk XLVII,Selea,Sophus"
Lacarro,"l,w,l,w,l,l,l",7,6,21,18,0,0,0.33,"Nehiri,Henerth Mk VIII,Nonia,Tonides,Humia,Fucury,Peturn"
Fabos,"l,w,l,l,w,l,l",7,6,21,18,0,0,0.33,"Jenides,Potera,Relia v12.42,Nehiri,Qunus,Nonia,Manope Mk XXXVII"
Tenia,"w,l,l,l,w,w,w",7,12,21,33,0,0,0.5238095238095238,"Qustea,Hunus v28.9,Wuturn v18.96,Jenides,Henerth Mk VIII,Suria Mk XCVII,Buwei"
Tewei v11.69,"w,w,w,w,w,l,w,l,l",9,18,27,45,0,0,0.5555555555555556,"Humia,Yocarro Mk XLVII,Nalea v36.5,Senus Mk XLIX,Zostea,Sulara v35.90,Iavis v40.72,Huyama,Yenus"
Relia v12.42,"l,w,l,l,l,w",7,9,19,27,0,1,0.47368421052631576,"Zostea,Fabos,Zuter,Petania Mk LXXXVII,Iapra,Nehiri"
Yayama,"w,w,w,w,l,l,w",7,15,21,42,0,0,0.6666666666666666,"Yutera Mk LXXXIV,Zuter,Vophus,Decarro,Sulara v35.90,Ianov,Cuvis"
Selia,"l,l,w,l,l,l,l",7,3,21,18,0,0,0.33,"Yenus,Xaturn,Dovis v46.22,Wuter Mk XVII,Megantu,Wuwei v12.30,Futer"
Dutune,"l,w,w,w,l,w,l",7,12,21,42,0,0,0.6666666666666666,"Qater,Vucarro v33.11,Sophus,Rozuno,Ienov,Vophus,Doyama Mk VII"
Futis,"l,w,l,l,l,w,w",7,9,21,30,0,0,0.47619047619047616,"Yocarro Mk XLVII,Dovis v46.22,Ronus v28.11,Pucury v46.28,Nutera,Cotania,Wuwei v12.30"
Wonus,"w,w,l,w,l,w,w",7,15,21,39,0,0,0.6190476190476191,"Manope Mk XXXVII,Tubos,Sulara v35.90,Wuturn v18.96,Ianov,Dayama,Gohiri"
Selea,"w,w,w,l,l,w,w",7,15,21,39,0,0,0.6190476190476191,"Qaturn,Qalea,Gohiri,Hunus v28.9,Qater,Logawa,Qewei"
Suria Mk XCVII,"l,l,w,w,l,l,w",7,9,21,27,0,0,0.42857142857142855,"Iavis v40.72,Lanus,Cotania,Xaturn,Wunus,Tenia,Vucarro v33.11"
Qewei,"w,l,w,l,w,w,l",7,12,21,33,0,0,0.5238095238095238,"Cotania,Rozuno,Nehiri,Zoclite,Iapra,Julea,Selea"
Halea v22.63,"l,w,w,l,l,w,l",7,9,21,30,0,0,0.47619047619047616,"Wunus,Futer,Bonope,Huthea,Buwei,Nostea,Wuter Mk XVII"
Futer,"l,l,l,l,l,w",7,6,19,12,0,1,0.33,"Zuter,Halea v22.63,Yestea,Qewei Mk XCV,Cotania,Selia"
Manope Mk XXXVII,"l,l,w,w,l,l,w",7,9,21,24,0,0,0.38095238095238093,"Wonus,Huthea,Tepra,Wuwei v12.30,Pucury v46.28,Ronus v28.11,Fabos"
Yutania,"l,l,l,w,w,l",7,9,19,24,0,1,0.42105263157894735,"Jolea,Guthea,Peturn,Wuwei v12.30,Vucarro v33.11,Humia"
Ienov,"l,w,w,w,w,l,l",7,12,21,33,0,0,0.5238095238095238,"Petania Mk LXXXVII,Megantu,Fucury,Vathea,Dutune,Rugawa,Haruta Mk XLIX"
Hunus v28.9,"w,w,w,w,l,w,l",7,15,21,51,0,0,0.8095238095238095,"Purilia Mk XXXV,Tenia,Rozuno,Selea,Funerth,Tubos,Ianov"
Decarro,"w,w,w,l,l,w,w",7,15,21,45,0,0,0.7142857142857143,"Huthea,Cuvis,Buwei,Yayama,Senus Mk XLIX,Monus,Secarro"
Doyama Mk VII,"w,l,l,w,w,w,w",7,15,21,42,0,0,0.6666666666666666,"Potera,Funerth,Haruta Mk XLIX,Iuzuno,Ferilia,Pucury v46.28,Dutune"
Nutera,"l,l,w,l,w,l,l",7,6,21,24,0,0,0.38095238095238093,"Gohiri,Qunus,Pecury,Nostea,Futis,Rozuno,Purilia Mk XXXV"
Funerth,"w,w,w,w,w,l,l,w,l,l",10,18,30,54,0,0,0.6,"Megantu,Doyama Mk VII,Turilia v28.53,Xotune v29.73,Hunus v28.9,Wustea Mk LXXXVI,Yenus,Yenus,Huyama,Nanov"
Qaturn,"l,w,w,l,w,l,l",7,9,21,33,0,0,0.5238095238095238,"Selea,Yutera Mk LXXXIV,Iapra,Yenus,Nonia,Zostea,Lanus"
Rozuno,"w,w,l,l,l,w,l",7,9,21,21,0,0,0.3333333333333333,"Pucury v46.28,Qewei,Hunus v28.9,Dutune,Nalea v36.5,Nutera,Iapra"
Potera,"l,l,l,l,w,w,l",7,6,21,24,0,0,0.38095238095238093,"Doyama Mk VII,Fabos,Qustea,Henerth Mk VIII,Pecury,Xaturn,Wehines Mk L"
Ronus v28.11,"l,w,w,l,l,w,w",7,12,21,33,0,0,0.5238095238095238,"Foter,Later,Futis,Ianov,Lanus,Manope Mk XXXVII,Vathea"
Pucury v46.28,"l,w,l,w,w,l,w",7,12,21,39,0,0,0.6190476190476191,"Rozuno,Pecury,Lanus,Futis,Manope Mk XXXVII,Doyama Mk VII,Gaphus"
Wuturn v18.96,"l,w,w,l,w,l,l",7,9,21,33,0,0,0.5238095238095238,"Monus,Cotania,Tenia,Wonus,Xaturn,Haruta Mk XLIX,Ferilia"
Dovis v46.22,"l,l,l,l,w,l",7,6,19,15,0,1,0.33,"Nalea v36.5,Futis,Selia,Megantu,Henerth Mk VIII,Jenides"
Xotune v29.73,"w,w,w,l,l,w,w",7,15,21,36,0,0,0.5714285714285714,"Qewei Mk XCV,Nehiri,Zoclite,Funerth,Iavis v40.72,Buwei,Fuwei"
Fucury,"l,w,l,w,l,w,l",7,9,21,18,0,0,0.33,"Fupra,Nostea,Ienov,Peturn,Turilia v28.53,Lacarro,Julea"
Wustea Mk LXXXVI,"w,w,w,w,w,w,w,w,l,w,w,l",12,30,36,81,0,0,0.75,"Guthea,Honov,Ianov,Gaphus,Huyama,Funerth,Sulara v35.90,Nanov,Sulara v35.90,Yenus,Nanov,Sulara v35.90"
Nanov,"w,l,w,w,w,w,w,l,w,w,l",11,24,33,60,0,0,0.6060606060606061,"Vucarro v33.11,Dayama,Yocarro Mk XLVII,Nalea v36.5,Julea,Qater,Rugawa,Wustea Mk LXXXVI,Ianov,Funerth,Wustea Mk LXXXVI"
Wehines Mk L,"l,l,l,w,l,w",7,9,19,24,0,1,0.42105263157894735,"Buwei,Zuter,Vophus,Tonides,Tepra,Potera"
Peturn,"l,l,w,l,l,w,w",7,9,21,27,0,0,0.42857142857142855,"Honov,Wuter Mk XVII,Yutania,Fucury,Later,Xulia,Lacarro"
Henerth Mk VIII,"l,l,l,w,l,l,w",7,6,21,18,0,0,0.33,"Nonia,Lacarro,Later,Potera,Tenia,Dovis v46.22,Xaturn"
Tepra,"l,l,l,w,w,w,w",7,12,21,33,0,0,0.5238095238095238,"Iapra,Haruta Mk XLIX,Manope Mk XXXVII,Yutera Mk LXXXIV,Bonope,Wehines Mk L,Vophus"
