number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0068,Fucury,"l,l,l,w,l,l,l,w",8,6,24,24,0,0,0.330,0.333,"Jatania,Ronope Mk LXVIII,Humia,Futer,Yestea,Qustea,Cotania,Yutera Mk LXXXIV"
#0104,Nutera,"w,l,l,w,l,w,w,l",8,12,24,30,0,0,0.500,0.417,"Xulia,Qater,Durus v12.47,Halea v22.63,Manope Mk XXXVII,Getis,Rozuno,Hunus v28.9"
#0026,Jolea,"w,l,l,l,w,l,l,w",8,9,24,30,0,0,0.375,0.417,"Tenia,Herilia v14.82,Selea,Monus,Selia,Wuwei v12.30,Futis,Iuzuno"
#0103,Xotune v29.73,"w,l,w,l,w,w,w,w",8,18,24,48,0,0,0.750,0.667,"Humia,Jenides,Yutera Mk LXXXIV,Matania,Yutania,Nalea v36.5,Jatania,Logawa"
#0112,Matania,"l,w,w,w,l,l,l,w",8,12,24,36,0,0,0.500,0.500,"Nanov,Pucarro,Qewei Mk XCV,Xotune v29.73,Gaphus,Petania Mk LXXXVII,Zoclite,Tubos"
#0116,Soria,"w,l,w,l,w,w,l,l",8,12,24,33,0,0,0.500,0.458,"Guthea,Wahiri Mk LXXIV,Tepra,Xetune,Wuter Mk XVII,Vathea,Doyama Mk VII,Yayama"
#0069,Bonope,"l,l,w,l,l,l,l,l",8,3,24,18,0,0,0.330,0.330,"Ianov,Lacarro,Xulia,Cuvis,Halea v22.63,Pucury v46.28,Henerth Mk VIII,Cotania"
#0126,Wanus v30.81,"l,w,w,l,l,l,w,l",8,9,24,24,0,0,0.375,0.333,"Vathea,Xocury,Bowei,Haruta Mk XLIX,Relia v12.42,Wunus,Tonides,Wuter Mk XVII"
#0072,Xulia,"l,l,l,w,l,l,l,l",8,3,24,9,0,0,0.330,0.330,"Nutera,Quphus,Bonope,Cotania,Wehines Mk L,Pecury,Dovis v46.22,Vetania"
#0093,Megantu,"l,l,l,w,w,l,l,l",8,6,24,24,0,0,0.330,0.333,"Gohiri,Foter,Pucarro,Xocury,Cotania,Sophus,Futer,Tepra"
#0137,Juzuno v16.41,"w,l,w,w,w,w,l,l",8,15,24,48,0,0,0.625,0.667,"Qalea,Wanope,Wuwei v12.30,Durus v12.47,Huthea,Waria v41.6,Wustea Mk LXXXVI,Haruta Mk XLIX"
#0118,Pucarro,"l,l,w,w,w,l,w,l",8,12,24,33,0,0,0.500,0.458,"Wanope,Matania,Megantu,Wehines Mk L,Cuvis,Muhiri v31.23,Relia v12.42,Tewei v11.69"
#0063,Logawa,"w,l,l,w,w,w,w,l",8,15,24,45,0,0,0.625,0.625,"Bowei,Fanov v33.40,Vophus,Lacarro,Soter v3.44,Relia v12.42,Secarro,Xotune v29.73"
#0018,Buwei,"l,w,l,w,l,w,l,l",8,9,24,33,0,0,0.375,0.458,"Doruta,Potera,Nanov,Yutera Mk LXXXIV,Muhiri v31.23,Cuvis,Dayama,Wunus"
#0022,Yocarro Mk XLVII,"w,l,l,w,l,w,w,l",8,12,24,36,0,0,0.500,0.500,"Foter,Danov,Nuthea,Yestea,Wahiri Mk LXXIV,Wehines Mk L,Wuturn v18.96,Muhiri v31.23"
#0095,Rugawa,"w,w,w,l,w,w,l,l",8,15,24,45,0,0,0.625,0.625,"Zoclite,Tuvis,Danov,Doruta,Honov,Gohiri,Huyama,Waria v41.6"
