uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
Xulia vs Pecury,#0001,Xulia,0,1,6,168,3,512,1600,900
Xulia vs Pecury,#0004,Pecury,0,-1,3,0,0,512,1600,900
Xulia vs Pecury,#0001,Xulia,0,1,6,154,4,813,1600,900
Xulia vs Pecury,#0004,Pecury,0,-1,2,0,0,813,1600,900
Xulia vs Pecury,#0001,Xulia,0,-1,3,0,0,362,1600,900
Xulia vs Pecury,#0004,Pecury,0,1,6,91,3,362,1600,900
Zoclite vs Wuwei v12.30,#0002,Zoclite,0,1,6,299,5,304,1600,900
Zoclite vs Wuwei v12.30,#0011,Wuwei v12.30,0,-1,1,0,0,304,1600,900
Zoclite vs Wuwei v12.30,#0002,Zoclite,0,1,6,156,3,398,1600,900
Zoclite vs Wuwei v12.30,#0011,Wuwei v12.30,0,-1,3,0,0,398,1600,900
Zoclite vs Wuwei v12.30,#0002,Zoclite,0,1,6,255,3,336,1600,900
Zoclite vs Wuwei v12.30,#0011,Wuwei v12.30,0,-1,3,0,0,336,1600,900
Toliv v6.73 vs Iuzuno,#0003,Toliv v6.73,0,-1,3,0,0,576,1600,900
Toliv v6.73 vs Iuzuno,#0001,Iuzuno,0,1,6,76,3,576,1600,900
Toliv v6.73 vs Iuzuno,#0003,Toliv v6.73,0,-1,2,0,0,361,1600,900
Toliv v6.73 vs Iuzuno,#0001,Iuzuno,0,1,6,272,4,361,1600,900
Toliv v6.73 vs Iuzuno,#0003,Toliv v6.73,0,1,6,338,4,334,1600,900
Toliv v6.73 vs Iuzuno,#0001,Iuzuno,0,-1,2,0,0,334,1600,900
Vophus vs Sophus,#0002,Vophus,0,-1,1,0,0,392,1600,900
Vophus vs Sophus,#0006,Sophus,0,1,6,338,5,392,1600,900
Vophus vs Sophus,#0002,Vophus,0,-1,2,0,0,270,1600,900
Vophus vs Sophus,#0006,Sophus,0,1,6,123,4,270,1600,900
Vophus vs Sophus,#0002,Vophus,0,-1,3,0,0,343,1600,900
Vophus vs Sophus,#0006,Sophus,0,1,6,77,3,343,1600,900
Bonope vs Dayama,#0001,Bonope,0,-1,4,0,0,440,1600,900
Bonope vs Dayama,#0001,Dayama,0,1,6,93,2,440,1600,900
Bonope vs Dayama,#0001,Bonope,0,-1,1,0,0,232,1600,900
Bonope vs Dayama,#0001,Dayama,0,1,6,181,5,232,1600,900
Bonope vs Dayama,#0001,Bonope,0,-1,2,0,0,229,1600,900
Bonope vs Dayama,#0001,Dayama,0,1,6,244,4,229,1600,900
Selea vs Qaturn,#0021,Selea,0,-1,2,0,0,433,1600,900
Selea vs Qaturn,#0001,Qaturn,0,1,6,180,4,433,1600,900
Selea vs Qaturn,#0021,Selea,0,1,6,430,5,411,1600,900
Selea vs Qaturn,#0001,Qaturn,0,-1,1,0,0,411,1600,900
Selea vs Qaturn,#0021,Selea,0,1,6,18,2,764,1600,900
Selea vs Qaturn,#0001,Qaturn,0,-1,4,0,0,764,1600,900
Yestea vs Ferilia,#0002,Yestea,0,-1,3,0,0,252,1600,900
Yestea vs Ferilia,#0001,Ferilia,0,1,6,245,3,252,1600,900
Yestea vs Ferilia,#0002,Yestea,0,-1,1,0,0,330,1600,900
Yestea vs Ferilia,#0001,Ferilia,0,1,6,332,5,330,1600,900
Yestea vs Ferilia,#0002,Yestea,0,-1,5,0,0,1966,1600,900
Yestea vs Ferilia,#0001,Ferilia,0,1,6,39,1,1966,1600,900
Secarro vs Wahiri Mk LXXIV,#0002,Secarro,0,1,6,72,2,580,1600,900
Secarro vs Wahiri Mk LXXIV,#0003,Wahiri Mk LXXIV,0,-1,4,0,0,580,1600,900
Secarro vs Wahiri Mk LXXIV,#0002,Secarro,0,-1,1,0,0,341,1600,900
Secarro vs Wahiri Mk LXXIV,#0003,Wahiri Mk LXXIV,0,1,6,302,5,341,1600,900
Secarro vs Wahiri Mk LXXIV,#0002,Secarro,0,1,6,127,3,365,1600,900
Secarro vs Wahiri Mk LXXIV,#0003,Wahiri Mk LXXIV,0,-1,3,0,0,365,1600,900
Nostea vs Gaphus,#0007,Nostea,0,-1,2,0,0,666,1600,900
Nostea vs Gaphus,#0001,Gaphus,0,1,6,207,4,666,1600,900
Nostea vs Gaphus,#0007,Nostea,0,1,6,150,5,388,1600,900
Nostea vs Gaphus,#0001,Gaphus,0,-1,1,0,0,388,1600,900
Nostea vs Gaphus,#0007,Nostea,0,-1,2,0,0,528,1600,900
Nostea vs Gaphus,#0001,Gaphus,0,1,6,277,4,528,1600,900
Decarro vs Huthea,#0003,Decarro,0,1,6,361,6,229,1600,900
Decarro vs Huthea,#0003,Huthea,0,-1,0,0,0,229,1600,900
Decarro vs Huthea,#0003,Decarro,0,1,6,222,4,350,1600,900
Decarro vs Huthea,#0003,Huthea,0,-1,2,0,0,350,1600,900
Decarro vs Huthea,#0003,Decarro,0,1,6,323,6,251,1600,900
Decarro vs Huthea,#0003,Huthea,0,-1,0,0,0,251,1600,900
Selia vs Yenus,#0001,Selia,0,-1,0,0,0,431,1600,900
Selia vs Yenus,#0001,Yenus,0,1,6,526,6,431,1600,900
Selia vs Yenus,#0001,Selia,0,-1,0,0,0,327,1600,900
Selia vs Yenus,#0001,Yenus,0,1,6,537,6,327,1600,900
Selia vs Yenus,#0001,Selia,0,-1,0,0,0,237,1600,900
Selia vs Yenus,#0001,Yenus,0,1,6,514,6,237,1600,900
Jolea vs Yutania,#0026,Jolea,0,1,6,62,2,841,1600,900
Jolea vs Yutania,#0001,Yutania,0,-1,4,0,0,841,1600,900
Jolea vs Yutania,#0026,Jolea,0,1,6,238,3,422,1600,900
Jolea vs Yutania,#0001,Yutania,0,-1,3,0,0,422,1600,900
Jolea vs Yutania,#0026,Jolea,0,1,6,4,1,1441,1600,900
Jolea vs Yutania,#0001,Yutania,0,-1,5,0,0,1441,1600,900
Fupra vs Fucury,#0002,Fupra,0,1,6,306,4,580,1600,900
Fupra vs Fucury,#0002,Fucury,0,-1,2,0,0,580,1600,900
Fupra vs Fucury,#0002,Fupra,0,1,6,230,3,416,1600,900
Fupra vs Fucury,#0002,Fucury,0,-1,3,0,0,416,1600,900
Fupra vs Fucury,#0002,Fupra,0,1,6,349,4,401,1600,900
Fupra vs Fucury,#0002,Fucury,0,-1,2,0,0,401,1600,900
Tenia vs Qustea,#0002,Tenia,0,1,6,144,3,451,1600,900
Tenia vs Qustea,#0002,Qustea,0,-1,3,0,0,451,1600,900
Tenia vs Qustea,#0002,Tenia,0,1,6,207,4,425,1600,900
Tenia vs Qustea,#0002,Qustea,0,-1,2,0,0,425,1600,900
Tenia vs Qustea,#0002,Tenia,0,1,6,290,5,305,1600,900
Tenia vs Qustea,#0002,Qustea,0,-1,1,0,0,305,1600,900
Nalea v36.5 vs Dovis v46.22,#0001,Nalea v36.5,0,1,6,200,4,418,1600,900
Nalea v36.5 vs Dovis v46.22,#0002,Dovis v46.22,0,-1,2,0,0,418,1600,900
Nalea v36.5 vs Dovis v46.22,#0001,Nalea v36.5,0,1,6,121,3,348,1600,900
Nalea v36.5 vs Dovis v46.22,#0002,Dovis v46.22,0,-1,3,0,0,348,1600,900
Nalea v36.5 vs Dovis v46.22,#0001,Nalea v36.5,0,1,6,301,5,231,1600,900
Nalea v36.5 vs Dovis v46.22,#0002,Dovis v46.22,0,-1,1,0,0,231,1600,900
Qater vs Dutune,#0001,Qater,0,1,6,122,3,383,1600,900
Qater vs Dutune,#0001,Dutune,0,-1,3,0,0,383,1600,900
Qater vs Dutune,#0001,Qater,0,-1,2,0,0,391,1600,900
Qater vs Dutune,#0001,Dutune,0,1,6,68,4,391,1600,900
Qater vs Dutune,#0001,Qater,0,1,6,164,3,325,1600,900
Qater vs Dutune,#0001,Dutune,0,-1,3,0,0,325,1600,900
Tonides vs Turilia v28.53,#0004,Tonides,0,-1,2,0,0,722,1600,900
Tonides vs Turilia v28.53,#0001,Turilia v28.53,0,1,6,320,4,722,1600,900
Tonides vs Turilia v28.53,#0004,Tonides,0,-1,1,0,0,297,1600,900
Tonides vs Turilia v28.53,#0001,Turilia v28.53,0,1,6,365,5,297,1600,900
Tonides vs Turilia v28.53,#0004,Tonides,0,-1,1,0,0,275,1600,900
Tonides vs Turilia v28.53,#0001,Turilia v28.53,0,1,6,392,5,275,1600,900
Cuvis vs Later,#0001,Cuvis,0,1,6,54,2,1515,1600,900
Cuvis vs Later,#0001,Later,0,-1,4,0,0,1515,1600,900
Cuvis vs Later,#0001,Cuvis,0,1,6,206,4,407,1600,900
Cuvis vs Later,#0001,Later,0,-1,2,0,0,407,1600,900
Cuvis vs Later,#0001,Cuvis,0,-1,1,0,0,466,1600,900
Cuvis vs Later,#0001,Later,0,1,6,289,5,466,1600,900
Qalea vs Xocury,#0001,Qalea,0,1,6,336,5,295,1600,900
Qalea vs Xocury,#0010,Xocury,0,-1,1,0,0,295,1600,900
Qalea vs Xocury,#0001,Qalea,0,1,6,491,6,274,1600,900
Qalea vs Xocury,#0010,Xocury,0,-1,0,0,0,274,1600,900
Qalea vs Xocury,#0001,Qalea,0,1,6,349,4,316,1600,900
Qalea vs Xocury,#0010,Xocury,0,-1,2,0,0,316,1600,900
Fabos vs Jenides,#0001,Fabos,0,-1,3,0,0,325,1600,900
Fabos vs Jenides,#0001,Jenides,0,1,6,206,3,325,1600,900
Fabos vs Jenides,#0001,Fabos,0,-1,3,0,0,300,1600,900
Fabos vs Jenides,#0001,Jenides,0,1,6,298,3,300,1600,900
Fabos vs Jenides,#0001,Fabos,0,-1,2,0,0,314,1600,900
Fabos vs Jenides,#0001,Jenides,0,1,6,362,4,314,1600,900
Gohiri vs Nutera,#0001,Gohiri,0,1,6,164,4,497,1600,900
Gohiri vs Nutera,#0002,Nutera,0,-1,2,0,0,497,1600,900
Gohiri vs Nutera,#0001,Gohiri,0,1,6,424,6,290,1600,900
Gohiri vs Nutera,#0002,Nutera,0,-1,0,0,0,290,1600,900
Gohiri vs Nutera,#0001,Gohiri,0,1,6,313,4,549,1600,900
Gohiri vs Nutera,#0002,Nutera,0,-1,2,0,0,549,1600,900
Futer vs Zuter,#0001,Futer,0,-1,3,0,0,360,1600,900
Futer vs Zuter,#0003,Zuter,0,1,6,250,3,360,1600,900
Futer vs Zuter,#0001,Futer,0,-1,4,0,0,451,1600,900
Futer vs Zuter,#0003,Zuter,0,1,6,107,2,451,1600,900
Futer vs Zuter,#0001,Futer,0,-1,1,0,0,331,1600,900
Futer vs Zuter,#0003,Zuter,0,1,6,387,5,331,1600,900
Huyama vs Haruta Mk XLIX,#0002,Huyama,0,1,6,447,4,252,1600,900
Huyama vs Haruta Mk XLIX,#0001,Haruta Mk XLIX,0,-1,2,0,0,252,1600,900
Huyama vs Haruta Mk XLIX,#0002,Huyama,0,1,6,389,4,280,1600,900
Huyama vs Haruta Mk XLIX,#0001,Haruta Mk XLIX,0,-1,2,0,0,280,1600,900
Huyama vs Haruta Mk XLIX,#0002,Huyama,0,1,6,246,3,332,1600,900
Huyama vs Haruta Mk XLIX,#0001,Haruta Mk XLIX,0,-1,3,0,0,332,1600,900
Potera vs Doyama Mk VII,#0001,Potera,0,-1,1,0,0,341,1600,900
Potera vs Doyama Mk VII,#0004,Doyama Mk VII,0,1,6,536,5,341,1600,900
Potera vs Doyama Mk VII,#0001,Potera,0,-1,2,0,0,667,1600,900
Potera vs Doyama Mk VII,#0004,Doyama Mk VII,0,1,6,164,4,667,1600,900
Potera vs Doyama Mk VII,#0001,Potera,0,-1,0,0,0,266,1600,900
Potera vs Doyama Mk VII,#0004,Doyama Mk VII,0,1,6,397,6,266,1600,900
Ienov vs Petania Mk LXXXVII,#0001,Ienov,0,-1,3,0,0,541,1600,900
Ienov vs Petania Mk LXXXVII,#0001,Petania Mk LXXXVII,0,1,6,248,3,541,1600,900
Ienov vs Petania Mk LXXXVII,#0001,Ienov,0,-1,3,0,0,777,1600,900
Ienov vs Petania Mk LXXXVII,#0001,Petania Mk LXXXVII,0,1,6,225,3,777,1600,900
Ienov vs Petania Mk LXXXVII,#0001,Ienov,0,1,6,39,1,756,1600,900
Ienov vs Petania Mk LXXXVII,#0001,Petania Mk LXXXVII,0,-1,5,0,0,756,1600,900
Tewei v11.69 vs Humia,#0013,Tewei v11.69,0,1,6,1,1,716,1600,900
Tewei v11.69 vs Humia,#0020,Humia,0,-1,5,0,0,716,1600,900
Tewei v11.69 vs Humia,#0013,Tewei v11.69,0,1,6,342,3,324,1600,900
Tewei v11.69 vs Humia,#0020,Humia,0,-1,3,0,0,324,1600,900
Tewei v11.69 vs Humia,#0013,Tewei v11.69,0,1,6,24,1,613,1600,900
Tewei v11.69 vs Humia,#0020,Humia,0,-1,5,0,0,613,1600,900
Peturn vs Honov,#0003,Peturn,0,-1,4,0,0,919,1600,900
Peturn vs Honov,#0015,Honov,0,1,6,226,2,919,1600,900
Peturn vs Honov,#0003,Peturn,0,-1,0,0,0,361,1600,900
Peturn vs Honov,#0015,Honov,0,1,6,418,6,361,1600,900
Peturn vs Honov,#0003,Peturn,0,-1,0,0,0,223,1600,900
Peturn vs Honov,#0015,Honov,0,1,6,398,6,223,1600,900
Wuturn v18.96 vs Monus,#0005,Wuturn v18.96,0,1,6,76,4,1216,1600,900
Wuturn v18.96 vs Monus,#0001,Monus,0,-1,2,0,0,1216,1600,900
Wuturn v18.96 vs Monus,#0005,Wuturn v18.96,0,-1,2,0,0,809,1600,900
Wuturn v18.96 vs Monus,#0001,Monus,0,1,6,287,4,809,1600,900
Wuturn v18.96 vs Monus,#0005,Wuturn v18.96,0,-1,1,0,0,308,1600,900
Wuturn v18.96 vs Monus,#0001,Monus,0,1,6,396,5,308,1600,900
Lanus vs Logawa,#0006,Lanus,0,-1,5,0,0,2290,1600,900
Lanus vs Logawa,#0001,Logawa,0,1,6,82,1,2290,1600,900
Lanus vs Logawa,#0006,Lanus,0,1,6,8,1,588,1600,900
Lanus vs Logawa,#0001,Logawa,0,-1,5,0,0,588,1600,900
Lanus vs Logawa,#0006,Lanus,0,-1,1,0,0,844,1600,900
Lanus vs Logawa,#0001,Logawa,0,1,6,314,5,844,1600,900
Julea vs Qunus,#0005,Julea,0,1,6,101,2,335,1600,900
Julea vs Qunus,#0001,Qunus,0,-1,4,0,0,335,1600,900
Julea vs Qunus,#0005,Julea,0,-1,5,0,0,549,1600,900
Julea vs Qunus,#0001,Qunus,0,1,6,10,1,549,1600,900
Julea vs Qunus,#0005,Julea,0,1,6,319,5,284,1600,900
Julea vs Qunus,#0001,Qunus,0,-1,1,0,0,284,1600,900
Henerth Mk VIII vs Nonia,#0001,Henerth Mk VIII,0,-1,2,0,0,634,1600,900
Henerth Mk VIII vs Nonia,#0002,Nonia,0,1,6,96,4,634,1600,900
Henerth Mk VIII vs Nonia,#0001,Henerth Mk VIII,0,-1,0,0,0,271,1600,900
Henerth Mk VIII vs Nonia,#0002,Nonia,0,1,6,267,6,271,1600,900
Henerth Mk VIII vs Nonia,#0001,Henerth Mk VIII,0,-1,2,0,0,300,1600,900
Henerth Mk VIII vs Nonia,#0002,Nonia,0,1,6,303,4,300,1600,900
Tepra vs Iapra,#0008,Tepra,0,-1,5,0,0,1093,1600,900
Tepra vs Iapra,#0025,Iapra,0,1,6,8,1,1093,1600,900
Tepra vs Iapra,#0008,Tepra,0,1,6,27,1,763,1600,900
Tepra vs Iapra,#0025,Iapra,0,-1,5,0,0,763,1600,900
Tepra vs Iapra,#0008,Tepra,0,-1,4,0,0,1083,1600,900
Tepra vs Iapra,#0025,Iapra,0,1,6,90,2,1083,1600,900
Vathea vs Zostea,#0002,Vathea,0,1,6,37,1,527,1600,900
Vathea vs Zostea,#0003,Zostea,0,-1,5,0,0,527,1600,900
Vathea vs Zostea,#0002,Vathea,0,-1,3,0,0,379,1600,900
Vathea vs Zostea,#0003,Zostea,0,1,6,207,3,379,1600,900
Vathea vs Zostea,#0002,Vathea,0,-1,3,0,0,344,1600,900
Vathea vs Zostea,#0003,Zostea,0,1,6,73,3,344,1600,900
Yutera Mk LXXXIV vs Yayama,#0012,Yutera Mk LXXXIV,0,-1,1,0,0,426,1600,900
Yutera Mk LXXXIV vs Yayama,#0001,Yayama,0,1,6,192,5,426,1600,900
Yutera Mk LXXXIV vs Yayama,#0012,Yutera Mk LXXXIV,0,-1,1,0,0,350,1600,900
Yutera Mk LXXXIV vs Yayama,#0001,Yayama,0,1,6,248,5,350,1600,900
Yutera Mk LXXXIV vs Yayama,#0012,Yutera Mk LXXXIV,0,-1,3,0,0,253,1600,900
